Date,Price,Open,High,Low,Vol.,Change %
Apr 95,387,393.1,397.6,386,3.52K,-0.0133
May 95,385.1,388.3,388.3,383.8,25.91K,-0.0049
Jun 95,384.9,385,392.5,383.8,10.47K,-0.0005
Jul 95,382.3,384.1,387.1,381.6,26.21K,-0.0068
Aug 95,382.9,382,387,381.3,6.82K,0.0016
Sep 95,383.8,386.2,386.2,383.3,4.50K,0.0024
Oct 95,383,383.3,386.4,381.6,1.63K,-0.0021
Nov 95,387.2,386.3,389,381.8,16.39K,0.011
Dec 95,387.6,387.6,390.5,385.5,6.61K,0.001
Jan 96,405.6,387.4,407.3,387.4,38.54K,0.0464
Feb 96,399.9,406.8,417.5,396.5,3.35K,-0.0141
Mar 96,395.8,392.5,400.8,392.5,38.56K,-0.0103
Apr 96,391.9,395.3,398,389.7,5.30K,-0.0099
May 96,390.9,391.3,392,389.5,34.89K,-0.0026
Jun 96,380.1,390.8,391,382.3,8.76K,-0.0276
Jul 96,387.5,385,388,384,39.52K,0.0195
Aug 96,386.9,387.6,390.5,386,4.99K,-0.0015
Sep 96,377.7,386.2,386.3,377.2,4.51K,-0.0238
Oct 96,378.1,377.3,384,377,0.32K,0.0011
Nov 96,373,379,379,372.5,0.14K,-0.0135
Dec 96,368.3,371.2,373.5,366,8.03K,-0.0126
Jan 97,344.9,353.7,353.7,344.2,16.67K,-0.0635
Feb 97,364.7,345.4,359.5,338.5,9.46K,0.0574
Mar 97,351,346,352.4,346,80.50K,-0.0376
Apr 97,340,351.6,351.9,337,5.08K,-0.0313
May 97,344.8,342.4,347.6,340.2,24.03K,0.0141
Jun 97,334.2,344.6,345,336.5,3.48K,-0.0307
Jul 97,324.1,331.8,331.8,320,79.04K,-0.0302
Aug 97,324.5,324.3,328.8,317,4.61K,0.0012
Sep 97,334.3,324.9,335,324.9,3.53K,0.0302
Oct 97,311.3,336,338,310.1,0.73K,-0.0688
Nov 97,296.9,312.5,312.5,295.1,44.85K,-0.0463
Dec 97,289.2,296.1,297.7,281.5,18.44K,-0.0259
Jan 98,302.9,305.8,306.6,300.6,97.80K,0.0474
Feb 98,299.1,301.9,305.5,290.8,4.12K,-0.0125
Mar 98,300.5,295.5,303.5,292.8,13.44K,0.0047
Apr 98,306.8,301,315.6,299,2.50K,0.021
May 98,292.3,300,300,291.2,33.08K,-0.0473
Jun 98,297,292.2,300.1,284.6,4.39K,0.0161
Jul 98,286.3,294.2,294.2,286,23.44K,-0.036
Aug 98,275.7,286.3,290,275.6,6.66K,-0.037
Sep 98,296.4,287,296.9,287,2.81K,0.0751
Oct 98,292.7,298.5,302.7,291.5,1.03K,-0.0125
