Date,Open,High,Low,Close,Adj Close,Volume
1999-10-13,24.685459,25.382227,24.287308,24.411730,23.513124,2827559
1999-10-14,24.685459,25.183149,23.839384,24.312191,23.417253,2367434
1999-10-15,23.690079,24.635691,23.092850,24.113115,23.225504,3154318
1999-10-18,24.138000,24.536152,22.396082,23.540771,22.674229,3589328
1999-10-19,24.486383,24.934305,23.938923,24.088230,23.201536,5800791
1999-10-20,24.461498,25.730610,24.212652,25.730610,24.783455,4584675
1999-10-21,25.183149,25.780378,24.287308,25.631071,24.687586,4181563
1999-10-22,25.680841,25.929686,25.183149,25.407110,24.471865,4850653
1999-10-25,25.208035,25.780378,24.511269,25.357342,24.423931,3406232
1999-10-26,25.332457,25.481766,24.536152,24.561037,23.656939,2174292
1999-10-27,24.685459,24.784998,23.814501,23.889154,23.009785,2959921
1999-10-28,24.486383,25.058727,24.187769,24.660576,23.752813,3133723
1999-10-29,24.959188,26.477146,24.934305,25.531534,24.591713,3859827
1999-11-01,26.850414,26.974836,25.705725,25.730610,24.783455,6884296
1999-11-02,26.327839,27.820911,26.228300,27.572065,26.557129,6164973
1999-11-03,28.642101,30.757286,28.592333,28.940716,27.875397,13387079
1999-11-04,30.060518,31.503822,29.960981,30.807055,29.673037,6719786
1999-11-05,31.827320,33.195972,30.259596,30.408903,29.289543,10829768
1999-11-08,30.508442,32.847588,30.458672,32.698280,31.494646,10288769
1999-11-09,33.320393,33.643890,31.055901,31.777552,30.607809,8624834
1999-11-10,31.354515,32.972012,31.304747,32.275242,31.087177,6719786
1999-11-11,32.399666,33.295509,30.408903,30.508442,29.385412,4407607
1999-11-12,31.852205,32.051281,29.911213,31.254976,30.104471,5948473
1999-11-15,31.503822,32.449436,31.105671,31.901976,30.727655,3502175
1999-11-16,32.051281,32.648510,31.354515,32.200588,31.015272,3301498
1999-11-17,31.702900,32.598743,30.533325,32.548973,31.350832,5921850
1999-11-18,35.634655,43.647476,35.609772,39.218029,37.774406,20991953
1999-11-19,39.641064,40.306728,36.381191,37.028191,35.665173,7787216
1999-11-22,37.077957,37.077957,33.195972,33.619007,32.381481,14189033
1999-11-23,34.390427,34.390427,31.006132,31.080786,29.936693,13893167
1999-11-24,32.225475,36.032806,31.155439,35.908386,34.586582,14707427
