Local time,Open,High,Low,Close,Volume
12.06.2015 18:00:00.000 GMT-0300,1.55558,1.55558,1.55558,1.55558,0
13.06.2015 18:00:00.000 GMT-0300,1.55558,1.55558,1.55558,1.55558,0
14.06.2015 18:00:00.000 GMT-0300,1.55446,1.56136,1.54872,1.55998,141796.29910000003
15.06.2015 18:00:00.000 GMT-0300,1.56010,1.56538,1.55416,1.56463,143678.8498
16.06.2015 18:00:00.000 GMT-0300,1.56463,1.58468,1.56251,1.58306,159138.5599
17.06.2015 18:00:00.000 GMT-0300,1.58304,1.59294,1.58056,1.58771,162883.85919999998
18.06.2015 18:00:00.000 GMT-0300,1.58777,1.58967,1.58351,1.58821,116516.57919999998
19.06.2015 18:00:00.000 GMT-0300,1.58821,1.58821,1.58821,1.58821,0
20.06.2015 18:00:00.000 GMT-0300,1.58821,1.58821,1.58821,1.58821,0
21.06.2015 18:00:00.000 GMT-0300,1.58679,1.59096,1.58050,1.58237,117074.80069999999
22.06.2015 18:00:00.000 GMT-0300,1.58237,1.58310,1.57085,1.57292,133517.46050000002
23.06.2015 18:00:00.000 GMT-0300,1.57302,1.58026,1.56666,1.57033,126443.72860000002
24.06.2015 18:00:00.000 GMT-0300,1.57021,1.57703,1.56765,1.57481,119602.5091
25.06.2015 18:00:00.000 GMT-0300,1.57482,1.57668,1.57083,1.57398,107655.3692
26.06.2015 18:00:00.000 GMT-0300,1.57398,1.57398,1.57398,1.57398,0
27.06.2015 18:00:00.000 GMT-0300,1.57398,1.57398,1.57398,1.57398,0
28.06.2015 18:00:00.000 GMT-0300,1.56934,1.57889,1.56621,1.57360,159605.07120000006
29.06.2015 18:00:00.000 GMT-0300,1.57363,1.57754,1.56923,1.57135,144936.2009
30.06.2015 18:00:00.000 GMT-0300,1.57115,1.57334,1.55878,1.56153,149252.0404
01.07.2015 18:00:00.000 GMT-0300,1.56153,1.56396,1.55618,1.56068,131782.0992
02.07.2015 18:00:00.000 GMT-0300,1.56068,1.56439,1.55545,1.55665,120511.29
03.07.2015 18:00:00.000 GMT-0300,1.55665,1.55665,1.55665,1.55665,0
04.07.2015 18:00:00.000 GMT-0300,1.55665,1.55665,1.55665,1.55665,0
05.07.2015 18:00:00.000 GMT-0300,1.55477,1.56282,1.55302,1.56013,140719.2401
06.07.2015 18:00:00.000 GMT-0300,1.56013,1.56081,1.54135,1.54613,163700.56760000004
07.07.2015 18:00:00.000 GMT-0300,1.54619,1.54666,1.53298,1.53605,158946.7199
08.07.2015 18:00:00.000 GMT-0300,1.53602,1.54203,1.53432,1.53795,153459.33980000005
09.07.2015 18:00:00.000 GMT-0300,1.53795,1.55509,1.53637,1.55061,179043.5408
10.07.2015 18:00:00.000 GMT-0300,1.55061,1.55061,1.55061,1.55061,0
11.07.2015 18:00:00.000 GMT-0300,1.55061,1.55061,1.55061,1.55061,0
12.07.2015 18:00:00.000 GMT-0300,1.55001,1.55888,1.54807,1.54844,178330.57040000003
13.07.2015 18:00:00.000 GMT-0300,1.54845,1.56385,1.54504,1.56352,174411.37050000002
14.07.2015 18:00:00.000 GMT-0300,1.56352,1.56753,1.55765,1.56370,184216.13019999999
15.07.2015 18:00:00.000 GMT-0300,1.56374,1.56503,1.55601,1.56064,186539.6883
16.07.2015 18:00:00.000 GMT-0300,1.56078,1.56725,1.55531,1.56015,136354.2801
17.07.2015 18:00:00.000 GMT-0300,1.56015,1.56015,1.56015,1.56015,0
18.07.2015 18:00:00.000 GMT-0300,1.56015,1.56015,1.56015,1.56015,0
19.07.2015 18:00:00.000 GMT-0300,1.55871,1.56273,1.55378,1.55598,131716.7748
20.07.2015 18:00:00.000 GMT-0300,1.55591,1.55904,1.55289,1.55528,157506.52039999998
21.07.2015 18:00:00.000 GMT-0300,1.55523,1.56465,1.55445,1.56117,157184.0286
22.07.2015 18:00:00.000 GMT-0300,1.56117,1.56706,1.55008,1.55114,137965.6494
23.07.2015 18:00:00.000 GMT-0300,1.55114,1.55259,1.54667,1.55049,103168.8003
24.07.2015 18:00:00.000 GMT-0300,1.55049,1.55049,1.55049,1.55049,0
25.07.2015 18:00:00.000 GMT-0300,1.55049,1.55049,1.55049,1.55049,0
26.07.2015 18:00:00.000 GMT-0300,1.55118,1.55949,1.54905,1.55578,128435.3407
27.07.2015 18:00:00.000 GMT-0300,1.55578,1.56280,1.55279,1.56110,114639.4595
28.07.2015 18:00:00.000 GMT-0300,1.56110,1.56898,1.55877,1.55961,116726.679
29.07.2015 18:00:00.000 GMT-0300,1.55952,1.56412,1.55625,1.55991,113281.47099999999
30.07.2015 18:00:00.000 GMT-0300,1.55979,1.56778,1.55491,1.56146,127366.80080000001
31.07.2015 18:00:00.000 GMT-0300,1.56146,1.56146,1.56146,1.56146,0
01.08.2015 18:00:00.000 GMT-0300,1.56146,1.56146,1.56146,1.56146,0
02.08.2015 18:00:00.000 GMT-0300,1.56314,1.56447,1.55651,1.55840,94545.61009999998
03.08.2015 18:00:00.000 GMT-0300,1.55840,1.56335,1.55576,1.55603,118289.6499
04.08.2015 18:00:00.000 GMT-0300,1.55609,1.56510,1.55258,1.56010,145422.72939999998
05.08.2015 18:00:00.000 GMT-0300,1.56014,1.56367,1.54666,1.55113,123862.14070000002
06.08.2015 18:00:00.000 GMT-0300,1.55111,1.55451,1.54245,1.54894,130604.47989999998
07.08.2015 18:00:00.000 GMT-0300,1.54894,1.54894,1.54894,1.54894,0
08.08.2015 18:00:00.000 GMT-0300,1.54894,1.54894,1.54894,1.54894,0
09.08.2015 18:00:00.000 GMT-0300,1.54868,1.56055,1.54581,1.55897,105222.80059999997
10.08.2015 18:00:00.000 GMT-0300,1.55897,1.56160,1.55549,1.55679,116502.58990000004
11.08.2015 18:00:00.000 GMT-0300,1.55685,1.56601,1.55339,1.56094,126884.67
12.08.2015 18:00:00.000 GMT-0300,1.56101,1.56366,1.55735,1.56069,143301.33899999995
13.08.2015 18:00:00.000 GMT-0300,1.56075,1.56597,1.55886,1.56385,154449.43079999997
14.08.2015 18:00:00.000 GMT-0300,1.56385,1.56385,1.56385,1.56385,0
15.08.2015 18:00:00.000 GMT-0300,1.56385,1.56385,1.56385,1.56385,0
16.08.2015 18:00:00.000 GMT-0300,1.56526,1.56880,1.55788,1.55832,146854.03879999998
17.08.2015 18:00:00.000 GMT-0300,1.55830,1.57167,1.55621,1.56579,146609.9197
18.08.2015 18:00:00.000 GMT-0300,1.56575,1.57001,1.56349,1.56781,178282.18070000003
19.08.2015 18:00:00.000 GMT-0300,1.56782,1.57015,1.56060,1.56891,158874.33950000003
20.08.2015 18:00:00.000 GMT-0300,1.56891,1.57233,1.56577,1.56888,167441.8598
21.08.2015 18:00:00.000 GMT-0300,1.56888,1.56888,1.56888,1.56888,0
22.08.2015 18:00:00.000 GMT-0300,1.56888,1.56888,1.56888,1.56888,0
23.08.2015 18:00:00.000 GMT-0300,1.56765,1.58024,1.56302,1.57726,217478.75220000002
24.08.2015 18:00:00.000 GMT-0300,1.57735,1.58181,1.56809,1.56863,167102.65970000002
25.08.2015 18:00:00.000 GMT-0300,1.56867,1.57196,1.54523,1.54599,200696.72019999998
26.08.2015 18:00:00.000 GMT-0300,1.54598,1.55083,1.53698,1.54014,194907.74120000005
27.08.2015 18:00:00.000 GMT-0300,1.54013,1.54429,1.53350,1.53881,153294.3691
28.08.2015 18:00:00.000 GMT-0300,1.53881,1.53881,1.53881,1.53881,0
29.08.2015 18:00:00.000 GMT-0300,1.53881,1.53881,1.53881,1.53881,0
30.08.2015 18:00:00.000 GMT-0300,1.54102,1.54368,1.53392,1.53430,108286.80040000001
31.08.2015 18:00:00.000 GMT-0300,1.53429,1.54074,1.52997,1.53024,146447.7507
01.09.2015 18:00:00.000 GMT-0300,1.53027,1.53254,1.52639,1.52981,139461.41939999998
02.09.2015 18:00:00.000 GMT-0300,1.52979,1.53129,1.52189,1.52555,122958.1191
03.09.2015 18:00:00.000 GMT-0300,1.52568,1.52737,1.51639,1.51650,114242.1414
04.09.2015 18:00:00.000 GMT-0300,1.51650,1.51650,1.51650,1.51650,0
05.09.2015 18:00:00.000 GMT-0300,1.51650,1.51650,1.51650,1.51650,0
06.09.2015 18:00:00.000 GMT-0300,1.51766,1.52882,1.51712,1.52704,131374.4305
07.09.2015 18:00:00.000 GMT-0300,1.52704,1.54121,1.52698,1.53932,126700.78059999998
08.09.2015 18:00:00.000 GMT-0300,1.53923,1.54043,1.53496,1.53661,123923.44049999998
09.09.2015 18:00:00.000 GMT-0300,1.53669,1.54754,1.53386,1.54431,155975.0908
10.09.2015 18:00:00.000 GMT-0300,1.54431,1.54615,1.53998,1.54263,116553.23020000002
11.09.2015 18:00:00.000 GMT-0300,1.54263,1.54263,1.54263,1.54263,0
12.09.2015 18:00:00.000 GMT-0300,1.54263,1.54263,1.54263,1.54263,0
13.09.2015 18:00:00.000 GMT-0300,1.54300,1.54708,1.53728,1.54254,106978.0095
14.09.2015 18:00:00.000 GMT-0300,1.54260,1.54568,1.53295,1.53427,110616.8502
15.09.2015 18:00:00.000 GMT-0300,1.53431,1.55282,1.53299,1.54892,128703.7814
16.09.2015 18:00:00.000 GMT-0300,1.54887,1.56276,1.54859,1.55891,141670.6707
17.09.2015 18:00:00.000 GMT-0300,1.55900,1.56585,1.55138,1.55223,153753.54950000002
18.09.2015 18:00:00.000 GMT-0300,1.55223,1.55223,1.55223,1.55223,0
19.09.2015 18:00:00.000 GMT-0300,1.55223,1.55223,1.55223,1.55223,0
20.09.2015 18:00:00.000 GMT-0300,1.55217,1.55677,1.54805,1.55054,121999.9392
21.09.2015 18:00:00.000 GMT-0300,1.55054,1.55288,1.53404,1.53621,129756.6312
22.09.2015 18:00:00.000 GMT-0300,1.53634,1.53651,1.52206,1.52404,139827.5899
23.09.2015 18:00:00.000 GMT-0300,1.52408,1.52888,1.52004,1.52418,142218.5491
24.09.2015 18:00:00.000 GMT-0300,1.52415,1.52602,1.51352,1.51748,135482.6113
25.09.2015 18:00:00.000 GMT-0300,1.51748,1.51748,1.51748,1.51748,0
26.09.2015 18:00:00.000 GMT-0300,1.51748,1.51748,1.51748,1.51748,0
27.09.2015 18:00:00.000 GMT-0300,1.51792,1.52409,1.51573,1.51715,117910.95969999998
28.09.2015 18:00:00.000 GMT-0300,1.51713,1.52049,1.51286,1.51476,145418.79840000003
29.09.2015 18:00:00.000 GMT-0300,1.51476,1.52136,1.51072,1.51271,142470.3811
30.09.2015 18:00:00.000 GMT-0300,1.51277,1.51798,1.51069,1.51293,117987.43920000001
01.10.2015 18:00:00.000 GMT-0300,1.51294,1.52372,1.51270,1.51809,134550.499
02.10.2015 18:00:00.000 GMT-0300,1.51809,1.51809,1.51809,1.51809,0
03.10.2015 18:00:00.000 GMT-0300,1.51809,1.51809,1.51809,1.51809,0
04.10.2015 18:00:00.000 GMT-0300,1.51889,1.52441,1.51367,1.51448,136381.07
05.10.2015 18:00:00.000 GMT-0300,1.51449,1.52427,1.51397,1.52236,108627.05960000001
06.10.2015 18:00:00.000 GMT-0300,1.52233,1.53393,1.52195,1.53169,146731.66019999998
07.10.2015 18:00:00.000 GMT-0300,1.53169,1.53719,1.52614,1.53451,141618.8801
08.10.2015 18:00:00.000 GMT-0300,1.53457,1.53831,1.52998,1.53041,142879.25069999998
09.10.2015 18:00:00.000 GMT-0300,1.53041,1.53041,1.53041,1.53041,0
10.10.2015 18:00:00.000 GMT-0300,1.53041,1.53041,1.53041,1.53041,0
11.10.2015 18:00:00.000 GMT-0300,1.53055,1.53728,1.53055,1.53475,112387.82009999998
12.10.2015 18:00:00.000 GMT-0300,1.53474,1.53872,1.52003,1.52468,151061.69019999995
13.10.2015 18:00:00.000 GMT-0300,1.52468,1.54942,1.52465,1.54762,165425.1498
14.10.2015 18:00:00.000 GMT-0300,1.54759,1.55084,1.54151,1.54526,166801.54140000002
15.10.2015 18:00:00.000 GMT-0300,1.54650,1.54861,1.54301,1.54320,131784.96980000002
16.10.2015 18:00:00.000 GMT-0300,1.54320,1.54320,1.54320,1.54320,0
17.10.2015 18:00:00.000 GMT-0300,1.54320,1.54320,1.54320,1.54320,0
18.10.2015 18:00:00.000 GMT-0300,1.54370,1.54964,1.54273,1.54636,111037.6804
19.10.2015 18:00:00.000 GMT-0300,1.54636,1.55059,1.54351,1.54422,114852.95050000002
