Date,Open,High,Low,Close
2017.08.25 00:00,1.28008,1.28888,1.27938,1.28758
2017.08.28 00:00,1.29097,1.2942,1.28733,1.29295
2017.08.29 00:00,1.29295,1.2978,1.2914,1.29195
2017.08.30 00:00,1.29196,1.29375,1.2878,1.29238
2017.08.31 00:00,1.2924,1.2934,1.28518,1.29272
2017.09.01 00:00,1.29277,1.29948,1.29048,1.2954
2017.09.04 00:00,1.2957,1.29658,1.29123,1.29298
2017.09.05 00:00,1.29299,1.3042,1.29083,1.30336
2017.09.06 00:00,1.30343,1.30815,1.3018,1.30398
2017.09.07 00:00,1.30426,1.3115,1.3032,1.3096
2017.09.08 00:00,1.3096,1.32233,1.30938,1.32005
2017.09.11 00:00,1.31915,1.32218,1.3159,1.31665
2017.09.12 00:00,1.3167,1.32975,1.31603,1.32872
2017.09.13 00:00,1.32875,1.33285,1.31835,1.32045
2017.09.14 00:00,1.32045,1.34053,1.3149,1.33965
2017.09.15 00:00,1.33973,1.3616,1.33815,1.35825
2017.09.18 00:00,1.3583,1.36183,1.34645,1.34959
2017.09.19 00:00,1.34959,1.3551,1.3468,1.3507
2017.09.20 00:00,1.3507,1.3657,1.34515,1.34955
2017.09.21 00:00,1.34964,1.3586,1.34703,1.35788
2017.09.22 00:00,1.3579,1.35955,1.34875,1.35223
2017.09.25 00:00,1.3491,1.35703,1.34303,1.34655
2017.09.26 00:00,1.34672,1.35133,1.34088,1.34588
2017.09.27 00:00,1.34592,1.34608,1.3363,1.3396
2017.09.28 00:00,1.33958,1.34548,1.3342,1.34383
2017.09.29 00:00,1.34385,1.34393,1.3349,1.3399
2017.10.02 00:00,1.33805,1.34018,1.32558,1.3276
2017.10.03 00:00,1.32755,1.32873,1.32215,1.32365
2017.10.04 00:00,1.32364,1.32912,1.32346,1.32403
2017.10.05 00:00,1.324,1.32493,1.3107,1.31188
2017.10.06 00:00,1.31188,1.31188,1.30265,1.3064
2017.10.09 00:00,1.30823,1.31833,1.30748,1.31418
2017.10.10 00:00,1.31418,1.3225,1.31308,1.32028
2017.10.11 00:00,1.3203,1.32338,1.31748,1.32223
2017.10.12 00:00,1.32221,1.329,1.31208,1.3262
2017.10.13 00:00,1.3262,1.33365,1.32465,1.32873
2017.10.16 00:00,1.32929,1.3311,1.32248,1.32504
2017.10.17 00:00,1.32509,1.32865,1.31543,1.3189
2017.10.18 00:00,1.3189,1.32121,1.31395,1.32035
2017.10.19 00:00,1.32033,1.3228,1.31315,1.31518
2017.10.20 00:00,1.31518,1.31998,1.30873,1.31845
2017.10.23 00:00,1.31854,1.32265,1.3157,1.3197
2017.10.24 00:00,1.31968,1.3227,1.31125,1.31283
2017.10.25 00:00,1.31285,1.3271,1.31095,1.32623
2017.10.26 00:00,1.32623,1.32784,1.31465,1.31513
2017.10.27 00:00,1.3151,1.3153,1.30693,1.31245
2017.10.30 00:00,1.31233,1.32145,1.31228,1.32033
2017.10.31 00:00,1.32033,1.32908,1.31913,1.32853
2017.11.01 00:00,1.32855,1.332,1.32398,1.3248
2017.11.02 00:00,1.32481,1.32985,1.3042,1.3054
2017.11.03 00:00,1.3054,1.31336,1.30388,1.30752
2017.11.06 00:00,1.30755,1.3174,1.3058,1.31708
2017.11.07 00:00,1.31706,1.3177,1.31083,1.31695
2017.11.08 00:00,1.31692,1.31753,1.30855,1.31135
2017.11.09 00:00,1.31135,1.3165,1.30845,1.3144
2017.11.10 00:00,1.31434,1.32288,1.31118,1.31968
2017.11.13 00:00,1.3171,1.3173,1.30615,1.31135
2017.11.14 00:00,1.3113,1.31867,1.30745,1.31611
2017.11.15 00:00,1.31613,1.3213,1.31298,1.3171
