EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
128628073,GB / Ling 5th Dec,6f Hcap,05-12-2016 15:00,8515499,Primrose Valley,0,2.582478485367822,2.57919820855777589017647988814786731937,2.60444774930110302074585209847618213047,3.5,2.3,1000,2.02,17862.74,457410.14,40771.72
128628073,GB / Ling 5th Dec,6f Hcap,05-12-2016 15:00,9402110,Hyland Heather,0,8.07528233951443,9.28115138323438103771493855061591033627,8.94125107676497171576635545443666670425,13.5,7.4,1000,4.2,721.48,66504.98,4332.68
128628078,GB / Ling 5th Dec,6f Hcap,05-12-2016 15:30,3339031,Desert Strike,1,5.700558294,6.18562341170328455710953795894035298114,4.56630343678301026098286477024404335162,8.2,4,5.4,1.01,6283.6,155660.9,72740.22
128628078,GB / Ling 5th Dec,6f Hcap,05-12-2016 15:30,5548033,Dishy Guru,0,16.435786442364332,17.690739626641996470024115367312647306,24.2253670852353684496354440491334961162,28,13.5,1000,15.5,155.14,26118.12,845.26
128628078,GB / Ling 5th Dec,6f Hcap,05-12-2016 15:30,62762,Keep It Dark,0,7,6.30747332736362380119313679862938976924,5.30732579229678693426704657552625165871,7,5.3,1000,5.1,994.7,125683.54,4878.8
128628665,GB / Ayr 5th Dec,2m2f Hcap Chs,05-12-2016 13:45,8528884,Ardmillan,0,17.891890204,13.6600176011658581704680884599070327834,7.37771965091043790362771097863834319381,18.5,6.8,1000,8,1272.48,29292.32,3056.2
128628670,GB / Ayr 5th Dec,2m4f Hcap Chs,05-12-2016 14:20,6781357,Trouble In Paris,0,20,18.4069879357756946765046374165470607182,7.62490814107229600737646508598601553965,23,7,1000,2.2,1123.38,21804.58,12627.26
128628670,GB / Ayr 5th Dec,2m4f Hcap Chs,05-12-2016 14:20,6859911,Danehills Well,0,13.344503000107508,12.3116175179034367930774472993547942815,16.1451072171112350985833574101256071533,17,10.5,410,1.4,457.46,52668.76,34482.02
128628675,GB / Ayr 5th Dec,2m5f Nov Hcap Chs,05-12-2016 14:50,7333194,Marlee Massie,1,5.547441783760224,4.73384718694776522492084023943554441233,5.5999542392179030183555773000635561477,6.8,4.4,11,1.01,2788.46,141115.96,89568.16
128628680,GB / Ayr 5th Dec,2m NHF,05-12-2016 15:20,13579,Off The Hook,0,283.04853152741447,196.03547780372656801894377660609776428,129.747405702898325634423383993028799008,350,100,1000,250,8.84,1474.48,79.02
128628680,GB / Ayr 5th Dec,2m NHF,05-12-2016 15:20,10629266,Paddling,0,60,50.8281696626523028461726836280562689681,70.4675353373013364633870783076698721584,110,34,1000,32,28.08,6498.06,600.4
128628058,GB / Ling 5th Dec,6f Sell Stks,05-12-2016 13:25,11412686,Come On Percy,0,9.2,9.72131091658558337579824554466468099264,8.78491047062087474605492342947612764779,12,7.05,1000,5,578.64,57848.62,2782.46
128628058,GB / Ling 5th Dec,6f Sell Stks,05-12-2016 13:25,11437409,Joyful Dream,0,7.547844475331401,8.37536602819021818691659890528560101838,7.58810041726024947770696332442241428686,11.5,7,1000,4.3,453.62,61766.02,5167.76
128628063,GB / Ling 5th Dec,1m2f Hcap,05-12-2016 13:55,7381439,Jacbequick,0,26.79660181733699,19.8664701755836341050249747955463727487,14.0705335229761727788018105362590164088,29,9.02,1000,20,703.1,16236.22,1681.42
128628063,GB / Ling 5th Dec,1m2f Hcap,05-12-2016 13:55,9927005,Natural Scenery,0,2.8218592578641,2.73506199057511866620530804552323600028,2.33791762466482550180016663333393311766,3.15,2.22,1000,1.44,24884.22,431732.46,67518.04
128628043,GB / Ling 5th Dec,1m2f Mdn Stks,05-12-2016 11:50,10249053,Dervish,0,58.03957914639991,46.4179636834969863976675175251661526776,33.8701551207534672038462478779617121011,70,29.41,1000,20,451.14,4533.34,435.56
128628043,GB / Ling 5th Dec,1m2f Mdn Stks,05-12-2016 11:50,7954076,Addicted To You,0,11.927525274856018,10.3093855124132693251610273445627148457,9.28459039285474846880656757783786037136,11.5,8.65,1000,7.2,2607.68,27313.16,2159.9
128628043,GB / Ling 5th Dec,1m2f Mdn Stks,05-12-2016 11:50,12188155,Franny Nisbet,0,113.96946077029685,113.14229779368283655706281354771551581,67.6356966513032784582397469667973392971,170,47.57,1000,140,186.96,1999.18,58.74
128628053,GB / Ling 5th Dec,5f Mdn Stks,05-12-2016 12:50,11166579,Cappananty Con,0,15.560871593,12.5958289577857426669145263730043962016,10.3624557548557263819595067756396546691,16.5,9.4,1000,1.2,478.68,20651.54,11777.6
128628068,GB / Ling 5th Dec,5f Hcap,05-12-2016 14:30,7756795,Poyle Vinnie,0,16.39479985146783,14.7890772610363602277752865416915322031,18.2622901049988712087070357549537168062,22,13,1000,16,639.82,27226.38,851.26
128628073,GB / Ling 5th Dec,6f Hcap,05-12-2016 15:00,625711,Loveatfirstsight,0,9,9.49015854688756877503674847565554101649,7.34422258824201044173502983157184840839,12,6.8,1000,8.4,913.44,66988.52,1913.36
128628073,GB / Ling 5th Dec,6f Hcap,05-12-2016 15:00,10629278,Evening Starlight,0,45.163702626326106,40.6222240702554436474287046547269395823,30.2685068855140361482427272383684679447,50,22,1000,2.52,189.28,11281.18,6587.9
128628078,GB / Ling 5th Dec,6f Hcap,05-12-2016 15:30,8765249,Burauq,0,5.62280208170341,5.16293072707461169762545792755788256985,6.00656179156834613876972232017383368212,7.2,4.1,1000,4.8,1359.34,171947.94,4070.28
128628650,GB / Ayr 5th Dec,2m4f Nov Hrd,05-12-2016 12:10,11126495,Border Victor,0,1000,999.996386832390047104530660043652079355,999.998787209488920984424421120318059416,1000,1000,1000,1000,86.82,247.18,43.58
128628670,GB / Ayr 5th Dec,2m4f Hcap Chs,05-12-2016 14:20,6579588,Personal Shopper,0,61.370532373,49.0829330223094366009362950277258205702,21.0017190621050320775604513567975381923,70,25,1000,30,58.08,6729.42,935.66
128628670,GB / Ayr 5th Dec,2m4f Hcap Chs,05-12-2016 14:20,8330195,Benefit In Kind,0,21.80121595537567,21.3490168466519016238035065353609788581,17.3069347279004818707504446436023497037,28,12.5,1000,15.5,402.78,19435.18,2317.62
128628675,GB / Ayr 5th Dec,2m5f Nov Hcap Chs,05-12-2016 14:50,5981246,Buffalo Ballet,0,10.5,8.67125414937514682712315852526542947339,8.44712221967718573091225331430615701805,11.5,7.91,1000,2.66,1089.54,40181.32,16155.54
128628675,GB / Ayr 5th Dec,2m5f Nov Hcap Chs,05-12-2016 14:50,9178744,Ascot De Bruyere,0,3.8,4.29054748562234703042025063476826560739,4.66321557460351096859669772116715458253,5.3,3.7,1000,2.76,3157.12,177401.58,57145.88
128628675,GB / Ayr 5th Dec,2m5f Nov Hcap Chs,05-12-2016 14:50,9424903,So Satisfied,0,6.6,5.6181656085453976346116867652111601149,4.21547051152328519063751077008000030052,6.6,3.96,1000,4.3,2360.26,115486.7,18378.04
128628680,GB / Ayr 5th Dec,2m NHF,05-12-2016 15:20,12190567,Silver Bullion,1,17.201756027336227,14.9455686943940563397330728700111319094,16.2734391652077845474589190571729936392,23,11,18,1.01,170.14,20804.9,111022.46
128628063,GB / Ling 5th Dec,1m2f Hcap,05-12-2016 13:55,9215433,High Baroque,0,55,41.877085170466515058266088494473878492,23.7679942985316350244462234196273248066,65,14.44,1000,16,412.02,8472.1,1351.1
128628043,GB / Ling 5th Dec,1m2f Mdn Stks,05-12-2016 11:50,11799690,Plead,1,9.137485702,11.4735673436313375317814771858462305766,14.6643015753405409250247106733007406842,17,9.4,14,1.01,1087.44,38569.44,37251.98
128628053,GB / Ling 5th Dec,5f Mdn Stks,05-12-2016 12:50,279430,Defining Moment,0,21,16.214708348159976367617431710977828932,8.83667733343132138153559283733383443874,23,7.4,1000,2.02,2884.4,24834.26,7423.74
128628053,GB / Ling 5th Dec,5f Mdn Stks,05-12-2016 12:50,11222103,Zambezi Queen,0,17.94665156243923,18.2743620349007999345319457859304301534,15.6594574504848270182136580305613138385,22,11,1000,7.8,477.64,11856.92,1704.42
128628053,GB / Ling 5th Dec,5f Mdn Stks,05-12-2016 12:50,12055990,Fantasy Keeper,0,29.327876840468385,26.3577956490108054479803069614461773343,17.7952908443582192869599976374639346306,32,16,1000,8,295.14,9109.82,1582.9
128628053,GB / Ling 5th Dec,5f Mdn Stks,05-12-2016 12:50,11566181,Kiribati,0,4.299360050201047,4.05585308022734048167828454921398346791,3.58911735923842687533870621088286244624,4.6,3.1,940,4.3,5052.22,226409.24,4590.38
128628068,GB / Ling 5th Dec,5f Hcap,05-12-2016 14:30,5636877,Sandfrankskipsgo,0,80,54.5386915390508675240499866678650519939,46.8786880533265407003237618390080204396,90,38,1000,40,201.3,8080.16,704.52
