time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-26T16:14:48.307Z,-19.8588,-173.967,35,4.6,mb,,129,6.275,1.24,us,us7000g9m6,2022-01-09T17:49:28.040Z,"40 km E of Pangai, Tonga",earthquake,10.6,2,0.117,22,reviewed,us,us
2021-12-26T15:54:47.088Z,-17.6613,-179.1546,653.87,4.3,mb,,153,2.663,0.25,us,us7000g9m4,2022-01-09T15:09:18.040Z,"168 km ENE of Levuka, Fiji",earthquake,19.7,13.3,0.126,20,reviewed,us,us
2021-12-26T15:42:57.107Z,-18.1104,-179.352,639.16,6.1,mww,,33,2.497,0.87,us,us6000gfgd,2022-01-09T15:03:23.315Z,"141 km E of Levuka, Fiji",earthquake,8.7,2.7,0.046,45,reviewed,us,us
2021-12-26T14:50:39.686Z,-20.0945,-178.7445,641.66,4.2,mb,,137,3.827,0.55,us,us7000g9m0,2022-01-06T21:27:45.040Z,"Fiji region",earthquake,19.5,11.9,0.152,12,reviewed,us,us
2021-12-26T05:37:08.451Z,-22.9654,172.0586,10,4.9,mb,,92,4.27,1.07,us,us6000gfcm,2021-12-26T06:03:31.040Z,"southeast of the Loyalty Islands",earthquake,5.1,1.9,0.117,26,reviewed,us,us
2021-12-26T03:49:14.657Z,-18.8389,-175.3036,192.06,4.3,mb,,145,5.954,0.85,us,us7000g9ln,2022-01-06T23:33:57.040Z,"140 km W of Neiafu, Tonga",earthquake,18,11,0.153,13,reviewed,us,us
2021-12-25T22:42:26.804Z,-23.6818,-179.573,533.03,4.3,mb,,127,5.751,0.86,us,us7000g9lj,2022-01-09T00:43:04.040Z,"south of the Fiji Islands",earthquake,14.3,9.4,0.138,15,reviewed,us,us
2021-12-25T21:00:19.665Z,-23.2175,-175.2591,10,4.9,mb,,130,6.476,0.69,us,us7000g9lf,2022-01-09T03:16:49.040Z,"211 km S of ‘Ohonua, Tonga",earthquake,15,1.7,0.125,20,reviewed,us,us
2021-12-25T13:42:40.084Z,-24.3884,-179.974,503.74,4.6,mb,,107,5.189,0.89,us,us6000gf8b,2021-12-25T14:01:51.040Z,"south of the Fiji Islands",earthquake,14,10.7,0.065,71,reviewed,us,us
2021-12-25T12:39:09.107Z,-17.0191,-173.5123,8.61,5.9,mb,,41,3.513,0.58,us,us6000gf7u,2021-12-26T12:43:18.865Z,"121 km SSE of Hihifo, Tonga",earthquake,9.6,4.5,0.024,619,reviewed,us,us
2021-12-25T12:39:05.731Z,-17.4639,-177.2018,235.42,5.4,mb,,80,15.305,1.58,us,us6000gf7t,2021-12-26T12:42:29.849Z,"Fiji region",earthquake,14.4,7.1,0.034,293,reviewed,us,us
2021-12-25T12:19:56.979Z,-18.9169,169.2228,217.32,5,mb,,74,3.953,0.56,us,us6000gf7p,2021-12-25T12:36:56.040Z,"69 km N of Isangel, Vanuatu",earthquake,5,7.4,0.045,160,reviewed,us,us
2021-12-25T10:03:24.848Z,-17.982,-179.2788,629.23,4.6,mb,,111,2.552,0.82,us,us6000gf77,2021-12-25T10:20:37.040Z,"149 km E of Levuka, Fiji",earthquake,13.6,9.2,0.045,148,reviewed,us,us
2021-12-25T02:52:03.515Z,-32.6281,-179.8806,205.75,4.5,mb,,106,3.754,0.67,us,us6000gf59,2021-12-25T03:23:33.040Z,"south of the Kermadec Islands",earthquake,13.1,10.3,0.139,18,reviewed,us,us
