price,exterior_col,interior_col,MPG,engine,transmission,drive_type,fuel_type,mileage,option_level,style
16895,Silver Ice Metallic,Jet Black,29 cty / 36 hwy,1.5L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,7184,Standard,SV CVT
13000,Super White,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,Automatic,FWD,Gas,39411,Standard,2.5 SL FWD
6990,Crystal Black Pearl,Unknown,26 cty / 34 hwy,2.4L Inline-4 Gas,Automatic,FWD,Gas,169795,Standard,Sedan
16651,Granite Pearlcoat,Black,17 cty / 25 hwy,3.6L V-6 Gas,Automatic,FWD,Gas,22951,Standard,Sport Sedan I4 CVT
16995,White Knuckle Clearcoat,Black,17 cty / 25 hwy,3.6L V-6 Gas,Automatic,FWD,Gas,39244,Standard,L I4 Automatic
14444,Brilliant Silver Metallic,Charcoal,28 cty / 39 hwy,2.5L Inline-4 Gas,Automatic,FWD,Gas,15411,Well Equipped,2.5 S
10295,Brilliant Silver Metallic,Charcoal,29 cty / 37 hwy,1.8L Inline-4 Gas,Automatic,FWD,Gas,29794,Standard,SV CVT
16998,Gun Metallic,Charcoal,28 cty / 39 hwy,2.5L Inline-4 Gas,Automatic,FWD,Gas,35601,Fully Loaded,S FWD
10495,Celestial Black,Unknown,66 cty / 66 hwy,L - Hydrogen,Automatic,FWD,Hydrogen,33579,Crew Cab,WT Crew Cab Short Box 4WD
9999,White Orchid Pearl,Black,26 cty / 35 hwy,2.4L Inline-4 Gas,Automatic,FWD,Gas,148719,Minimal Options,LT
17499,White Knuckle Clearcoat,Black,17 cty / 25 hwy,3.6L V-6 Gas,Automatic,FWD,Gas,32738,Crew Cab,SV Crew Cab 4WD Automatic
15293,Predawn Gray Mica,Ash,29 cty / 41 hwy,2.5L Inline-4 Gas,Automatic,FWD,Gas,56772,Standard,GLS Sedan Automatic
9985,Brilliant Silver,Charcoal,27 cty / 38 hwy,2.5L Inline-4 Gas,Automatic,FWD,Gas,56868,Standard,2.5 S FWD
10908,Brilliant Silver,Charcoal,29 cty / 37 hwy,1.8L Inline-4 Gas,Automatic,FWD,Gas,34216,Minimal Options,SEL 2.0L Automatic
15799,Caspian Blue Metallic,Charcoal,26 cty / 33 hwy,2.5L Inline-4 Gas,Automatic,FWD,Gas,46754,Standard,SE Sedan
15988,Mosaic Black Metallic,Jet Black,29 cty / 36 hwy,1.5L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,8483,Standard,SEL FWD
2370,Nordic White Solid,Gray,26 cty / 34 hwy,2.0L Inline-4 Gas,Automatic,FWD,Gas,176537,Fully Loaded,S FWD
15488,Brilliant Silver Metallic,Charcoal,28 cty / 39 hwy,2.5L Inline-4 Gas,Automatic,FWD,Gas,2796,Standard,2dr Coupe
10995,Phantom Black,Black,28 cty / 37 hwy,2.0L Inline-4 Gas,Automatic,FWD,Gas,33576,Minimal Options,LT
4950,Ingot Silver Metallic,Charcoal Black,26 cty / 36 hwy,2.0L Inline-4 Gas,Automatic,FWD,Gas,110980,Standard,Limited AWD
12988,Deep Blue Pearl,Charcoal,28 cty / 39 hwy,2.5L Inline-4 Gas,Automatic,FWD,Gas,27502,Minimal Options,SXT
11495,Silver,Black,28 cty / 36 hwy,1.8L Inline-4 Gas,Automatic,FWD,Gas,32330,Minimal Options,SE AWD
22397,Burgundy Velvet Metallic Tinted Clearcoat,Unknown,21 cty / 29 hwy,2.0L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,22215,Minimal Options,2.5 S
14810,Predawn Gray Mica,Ash,28 cty / 39 hwy,2.5L Inline-4 Gas,Automatic,FWD,Gas,44979,Minimal Options,LT with 1LT AWD
5900,Pearl White,Black,23 cty / 28 hwy,2.5L Inline-4 Gas,Automatic,FWD,Gas,103418,Standard,ES 350
19900,Phantom Black Metallic,Black,16 cty / 21 hwy,6.0L V-8 Gas,Automatic,RWD,Gas,43402,Minimal Options,SXT
14996,Summit White,Dark Atmosphere/ Medium Ash Gray,29 cty / 36 hwy,1.5L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,36979,Fully Loaded,LX Automatic
14995,Ruby Flare Pearl,Black,22 cty / 28 hwy,2.5L Inline-4 Gas,Automatic,AWD,Gas,129856,Standard,LX V6 FWD
16795,Granite Pearlcoat,Black,17 cty / 25 hwy,3.6L V-6 Gas,Automatic,FWD,Gas,45205,Standard,S FWD
16897,Gemstone Red,Black,22 cty / 25 hwy,2.0L Inline-4 Gas,Automatic,AWD,Gas,25592,Standard,with Technology Package
6850,Super Black,Charcoal,27 cty / 38 hwy,2.5L Inline-4 Gas,Automatic,FWD,Gas,70478,Standard,SUV
17400,Summit White,Jet Black,25 cty / 30 hwy,1.5L Inline-4 Gas Turbocharged,Automatic,AWD,Gas,39966,Standard,LE I4 Automatic
8297,Smoky Granite Mica,Black,19 cty / 27 hwy,3.5L V-6 Gas,Automatic,FWD,Gas,103652,Standard,LT 4WD
15998,Granite Pearlcoat,Black,17 cty / 25 hwy,3.6L V-6 Gas,Automatic,FWD,Gas,37668,Minimal Options,LXS IVT
13897,Snow White Pearl,Black,24 cty / 32 hwy,2.4L Inline-4 Gas,Automatic,FWD,Gas,35363,Standard,LX Sedan Automatic
18897,Ebony Black,Black,19 cty / 26 hwy,3.3L V-6 Gas,Automatic,FWD,Gas,32145,Standard,SV AWD
11381,Deep Blue Pearl,Charcoal,28 cty / 39 hwy,2.5L Inline-4 Gas,Automatic,FWD,Gas,27899,Standard,LE CVT
38995,Black,Black,20 cty / 25 hwy,3.0L V-6 Gas Turbocharged,Automatic,AWD,Gas,55100,Fully Loaded,Laredo 4WD
9677,Aspen White Pearl,Tan,15 cty / 20 hwy,3.7L V-6 Gas,Automatic,AWD,Gas,107572,Standard,SE FWD
7995,Slate Blue Metallic,Black,14 cty / 18 hwy,3.7L Inline-5 Gas,Automatic,4WD,Gas,208458,Fully Loaded,LXS IVT
5981,Blue,Grey,25 cty / 35 hwy,2.5L Inline-4 Gas,Automatic,FWD,Gas,165036,Minimal Options,SV AWD
9300,Silver Birch Metallic,Ebony,15 cty / 20 hwy,5.3L V-8 Gas,Automatic,4WD,Gas,255413,Standard,Limited
11987,Silky Silver,Black,29 cty / 40 hwy,2.0L Inline-4 Gas,Automatic,FWD,Gas,33078,Standard,SV FWD
2977,Nighthawk Black Pearl,Ivory,30 cty / 40 hwy,1.8L Inline-4 Gas,Automatic,FWD,Gas,197703,Standard,SV CVT
18100,Silver,Grey,25 cty / 32 hwy,2.5L Inline-4 Gas,Automatic,AWD,Gas,25373,Minimal Options,2.5 SV
14000,Super White,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,Automatic,FWD,Gas,20120,Extended Cab,LT Z71 Double Cab Standard Box 4WD
15467,Bright White Clearcoat,Black,17 cty / 24 hwy,3.6L V-6 Gas,Automatic,4WD,Gas,100256,Standard,Touring AWD
8766,Oxford White,Charcoal Black,22 cty / 34 hwy,2.5L Inline-4 Gas,Automatic,FWD,Gas,76869,Fully Loaded,LX V6 FWD
11718,Currant Red,Black,29 cty / 40 hwy,2.0L Inline-4 Gas,Automatic,FWD,Gas,34987,Standard,LX Sedan I4 CVT
10995,Magnetic Black,Charcoal,25 cty / 32 hwy,2.5L Inline-4 Gas,Automatic,AWD,Gas,99202,Crew Cab,LT Crew Cab Short Box 2WD
8490,Classic Silver Metallic,Light Gray,20 cty / 29 hwy,3.5L V-6 Gas,Automatic,FWD,Gas,121833,Extended Cab,WT Double Cab Standard Box 4WD
14993,Magnetic Black Pearl,Charcoal,26 cty / 33 hwy,2.5L Inline-4 Gas,Automatic,FWD,Gas,40293,Minimal Options,LT
6995,Super Black,Charcoal,29 cty / 39 hwy,1.8L Inline-4 Gas,Automatic,FWD,Gas,81100,Minimal Options,SXT
8000,Storm,Charcoal,27 cty / 38 hwy,2.5L Inline-4 Gas,Automatic,FWD,Gas,106099,Standard,SE FWD
21397,Snowflake White Pearl Mica,Black,24 cty / 30 hwy,2.5L Inline-4 Gas,Automatic,AWD,Gas,22722,Standard,XLE V6 Automatic
8913,Barcelona Red Metallic,Black,28 cty / 36 hwy,1.8L Inline-4 Gas,Automatic,FWD,Gas,156910,Standard,LS 430
22500,Snow White Pearl,Black,19 cty / 26 hwy,3.3L V-6 Gas,Automatic,FWD,Gas,2483,Standard,LX Sedan Automatic
8425,White Orchid Pearl,Ivory,27 cty / 36 hwy,2.4L Inline-4 Gas,Automatic,FWD,Gas,100899,Standard,Base Automatic
16999,Silver Ice Metallic,Jet Black,29 cty / 36 hwy,1.5L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,5009,Standard,LE Automatic
16995,Black Onyx Crystal Pearlcoat,Black,17 cty / 25 hwy,3.6L V-6 Gas,Automatic,FWD,Gas,41297,Standard,2.5 S
7850,Ingot Silver,Unknown,22 cty / 34 hwy,2.5L Inline-4 Gas,Automatic,FWD,Gas,130148,Standard,+ Automatic
17998,Midnight Black Metallic,Black,22 cty / 33 hwy,3.5L V-6 Gas,Automatic,FWD,Gas,78976,Crew Cab,SV Crew Cab 2WD Automatic
9599,Crystal White,Tan,18 cty / 25 hwy,4.3L V-8 Gas,Automatic,RWD,Gas,102408,Standard,Sedan
6995,Dyno Blue Pearl,Gray,28 cty / 39 hwy,1.8L Inline-4 Gas,Automatic,FWD,Gas,87577,Standard,Sedan
6999,Black,Black,22 cty / 30 hwy,2.5L Inline-4 Gas,Automatic,FWD,Gas,86567,Standard,SV CVT
15687,Obsidian,Parchment,21 cty / 31 hwy,3.5L V-6 Gas,Automatic,FWD,Gas,30235,Fully Loaded,S Automatic
36999,Alpine White,Canberra Beige,26 cty / 36 hwy,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gas,3707,Fully Loaded,GLS Sedan Automatic
5555,Gray,Gray,26 cty / 34 hwy,1.8L Inline-4 Gas,Automatic,FWD,Gas,118900,Standard,SE Sedan
8650,Super Black,Charcoal,27 cty / 38 hwy,2.5L Inline-4 Gas,Automatic,FWD,Gas,38913,Standard,SV Sedan CVT
10198,Bright Silver,Black,25 cty / 30 hwy,2.0L Inline-4 Gas,Automatic,FWD,Gas,78568,Fully Loaded,LX Automatic
11495,Elemental Silver Metallic,Unknown,66 cty / 66 hwy,L - Hydrogen,Automatic,FWD,Hydrogen,25262,Standard,SE Sedan
11795,Elemental Silver Metallic,Unknown,66 cty / 66 hwy,L - Hydrogen,Automatic,FWD,Hydrogen,20347,Standard,XLT FWD
11597,Fresh Powder,Charcoal,29 cty / 37 hwy,1.8L Inline-4 Gas,Automatic,FWD,Gas,36763,Minimal Options,SXT
39693,Billet Silver Metallic Clearcoat,Black,17 cty / 23 hwy,2.0L V-4 Gas Turbocharged,Automatic,4WD,Gas,13088,Standard,2.5 S
15000,Platinum Gray Metallic,Titan Black,30 cty / 40 hwy,1.4L Inline-4 Gas Turbocharged,Automatic,FWD,Gas,30777,Standard,SV CVT
5900,Shimmering White,Beige,28 cty / 38 hwy,1.8L Inline-4 Gas,Automatic,FWD,Gas,105301,Standard,I4 4WD
6990,Tuxedo Black Metallic,Charcoal Black,26 cty / 36 hwy,2.0L Inline-4 Gas,Automatic,FWD,Gas,82298,Minimal Options,SEL 2.0L IVT
10988,Deep Blue Pearl,Charcoal,31 cty / 39 hwy,1.6L Inline-4 Gas,Automatic,FWD,Gas,35954,Standard,EX-L FWD
13597,Snow White Pearl,Black,24 cty / 32 hwy,2.4L Inline-4 Gas,Automatic,FWD,Gas,41350,Standard,T5 FWD
14995,Super Black,Charcoal,28 cty / 39 hwy,2.5L Inline-4 Gas,Automatic,FWD,Gas,20933,Well Equipped,S CVT
6000,Red,Beige,21 cty / 30 hwy,3.5L V-6 Gas,Automatic,FWD,Gas,144239,Standard,LX V6 FWD
3500,Gray,Charcoal Black,25 cty / 35 hwy,2.0L Inline-4 Gas,Automatic,FWD,Gas,150947,Standard,XLT 4WD
