Pgroup;Lp;PKod;Pname;p_sale_in_time;Psale;Pavarage_stock;Rotation_in_days;Rotation_in_times
ART._HYGIENIC;;;;;;;;
 ;1;5573;EVA SIMPLE ZEL DO MYCIA CIALA 500 ML;0,002673797;1,00;0,00;0;
 ;1;9188;EWA BALSAM DO OPALANIA 200 ML SOFT;0,005347594;2,00;0,00;0;
 ;1;9191;EWA KREM OCHRONNY 25 ML;0,005347594;2,00;0,00;0;
 ;1;10242;EWA MYDLO 500 G Z DOZOWNIKIEM ALOES;0,005347594;2,00;0,00;0;
 ;1;9183;EWA SZAMOPN BRZOZA 400 ML;0,018716578;7,00;0,00;0;
 ;1;9408;EWA SZAMPON POTROJNA SILA ZIÓ? 400 ML;0,00802139;3,00;0,00;0;
 ;1;5032;EWA SZAMPON ZIOLA 400 ML;0,005347594;2,00;0,00;0;
 ;1;4950;FAIRY 1 L APPLE;0,021390374;8,00;0,00;0;
 ;1;13769;FAIRY 500 ML CYTRYNA;0,024064171;9,00;0,00;0;
 ;1;8122;FARBY PLAKATOWE 6 KOLOR;0,013368984;5,00;0,00;0;
 ;1;8139;FLAMASTRY 12 SZT;0,002673797;1,00;0,00;0;
 ;1;16685;FOLIA ALUMINIOWA 10 M;0,013368984;5,00;0,00;0;
 ;1;18817;FOLIA ALUMINIOWA 10 M ANNA;0,016042781;6,00;0,00;0;
 ;1;7112;FOLIA ALUMINIOWA 10M PAN PACK;0,20855615;78,00;0,00;0;
 ;1;8862;FOLIA ALUMINIOWA 20 M;0,06684492;25,00;0,00;0;
 ;1;17796;FOLIA ALUMINIOWA 20 M;0,013368984;5,00;0,00;0;
 ;1;14145;FOLIA SPOZYWCZA 30M PACLAN;0,024064171;9,00;0,00;0;
 ;1;19256;GABKA DO KAPIELI;0,029411765;11,00;0,00;0;
 ;1;18440;GABKA DO KAPIELI I MASAZU;0,050802139;19,00;0,00;0;
 ;1;10791;GAZA OPATRUNKOWA 1 M;0,002673797;1,00;0,00;0;
 ;1;593;GILELETTE PIANKA DO GOLENIA;0,010695187;4,00;0,00;0;
 ;1;8006;GILLETTE BLU 3;0,00802139;3,00;0,00;0;
 ;1;545;GILLETTE MASZYNKA BLU 2 PLUS;0,28342246;106,00;0,00;0;
 ;1;6849;GILLETTE PIANKA DO GOL MAN;0,002673797;1,00;0,00;0;
 ;1;6847;GILLETTE PIANKA DO GOL.MAN;0,013368984;5,00;0,00;0;
 ;1;16138;GILLETTE PIANKA DO GOLENIA 200 ML;0,005347594;2,00;0,00;0;
 ;1;16383;GILLETTE ZEL  SKORA WRAZLIWA;0,00802139;3,00;0,00;0;
 ;1;15367;GILZY GOLDEN 100+15 A^;0,14973262;56,00;0,00;0;
 ;1;10266;GLOW 750 ML DO LAZIENEK;0,002673797;1,00;0,00;0;
 ;1;10212;GOLARKA GILLETTE 3 1 SZT;0,010695187;4,00;0,00;0;
 ;1;6985;GOLARKA WILKINSON XTREME 3;0,328877005;123,00;0,00;0;
 ;1;6712;GRA PODROZNA WIEZOWIEC;0,002673797;1,00;0,00;0;
 ;1;1874;GUMA ORBIT 5 LIST.;0,069518717;26,00;0,00;0;
 ;1;4227;GUMKA DO MAZANIA;0,002673797;1,00;0,00;0;
 ;1;2889;HELP  1 L DO NACZYN CYTRYNA;0,021390374;8,00;0,00;0;
 ;1;19199;HELP 0,5 L MIETA DO NACZYN;0,040106952;15,00;0,00;0;
 ;1;16018;HELP 1 L DO NACZYN MIETA;0,024064171;9,00;0,00;0;
 ;1;17678;HELP 1 L UNIWERSALNY;0,010695187;4,00;0,00;0;
 ;1;16731;HELP 1 L Z LANOLINA;0,00802139;3,00;0,00;0;
 ;1;9693;HELP 1L CZARNY;0,00802139;3,00;0,00;0;
 ;1;7222;HELP 300 G WHITE;0,018716578;7,00;0,00;0;
 ;1;8431;HELP KOLOR 1,88 PROSZEK;0,002673797;1,00;0,00;0;
 ;1;7017;HELP PLYN DO PLUKANIA KONC.1 L;0,002673797;1,00;0,00;0;
