SAPOBJECTID;CLASS;WASTE_COL_TYPE;WASTE_COL_MATERIAL;NUMBER_OF_WASTE_BINS;SLAB;FINISH;PHOTO_LEGACY;GIS_STARTUP_DATE;CUSTODIAN;GIS_DESCRIPTION;SORT_FIELD;CREATED_DATE;LAST_EDITED_DATE;POINT_X;POINT_Y
6000079476;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;Y;STAINED;https://msvnmap1/Asset_Photos/_legacy/62/j352p47.jpg;23/12/2010;51000811;WASTE COLLECTION POINT;WACO12841;23/05/2014;25/05/2014;52.995.745.740.000.000;691.746.999.010.000.000
6000101023;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;N;STAINED;https://msvnmap1/Asset_Photos/_legacy/63/j378p74.jpg;31/01/2011;51002358;WASTE COLLECTION POINT;WACO13041;23/05/2014;25/05/2014;54.239.609.090.000.000;690.241.708.400.000.000
6000101026;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;N;STAINED;https://msvnmap1/Asset_Photos/_legacy/63/j378p153.jpg;21/12/2010;51002358;WASTE COLLECTION POINT;WACO13044;23/05/2014;25/05/2014;54.240.709.910.000.000;690.229.677.850.000.000
6000101030;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;N;STAINED;https://msvnmap1/Asset_Photos/_legacy/63/j378p200.jpg;21/12/2010;51002358;WASTE COLLECTION POINT;WACO13048;23/05/2014;25/05/2014;54.242.363.200.000.000;690.228.603.070.000.000
6000101043;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;N;STAINED;https://msvnmap1/Asset_Photos/_legacy/63/j378p230.jpg;31/01/2011;51002358;WASTE COLLECTION POINT;WACO13051;23/05/2014;25/05/2014;54.242.015.230.000.000;690.243.919.950.000.000
6000079764;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;Y;PAINTED;https://msvnmap1/Asset_Photos/_legacy/64/x397p5.jpg;17/12/2009;51000811;WASTE COLLECTION POINT;WACO13107;23/05/2014;12/06/2015;54.019.131.290.000.000;690.924.204.190.000.000
6000101005;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;N;STAINED;https://msvnmap1/Asset_Photos/_legacy/63/x386p176.jpg;24/01/2011;51002358;WASTE COLLECTION POINT;WACO12988;23/05/2014;25/05/2014;54.236.810.450.000.000;690.282.409.120.000.000
6000079783;WASTE_COL_POINT;WHEELIE BIN STAND;STEEL;100.000.000.000;N;GALVANISED;https://msvnmap1/Asset_Photos/_legacy/b78p29.jpg;05/08/2003;51000811;WASTE COLLECTION POINT;WACO1311;23/05/2014;28/01/2015;53.526.458.180.000.000;689.987.181.210.000.000
6000079796;WASTE_COL_POINT;WHEELIE BIN STAND;STEEL;100.000.000.000;N;GALVANISED;https://msvnmap1/Asset_Photos/_legacy/61/x364p80.jpg;06/08/2003;51000811;WASTE COLLECTION POINT;WACO1312;23/05/2014;25/05/2014;54.790.349.030.000.000;688.750.761.880.000.000
6000079809;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;Y;PAINTED;https://msvnmap1/Asset_Photos/_legacy/64/x397p5.jpg;17/12/2009;51000811;WASTE COLLECTION POINT;WACO13140;23/05/2014;12/06/2015;54.019.198.220.000.000;690.924.250.360.000.000
6000121110;WASTE_COL_POINT;WHEELIE BIN STAND;STEEL;100.000.000.000;N;GALVANISED;;01/09/2015;51000811;Waste Collection Poi;;01/11/2015;01/11/2015;53.788.224.100.000.000;691.074.867.840.000.000
6000121119;WASTE_COL_POINT;WHEELIE BIN ENCLOSURE;STAINLESS STEEL;100.000.000.000;Y;POLISHED;;27/04/2015;51000811;Waste Collection Poi;;01/11/2015;01/11/2015;54.218.761.800.000.000;690.636.024.120.000.000
6000121120;WASTE_COL_POINT;WHEELIE BIN STAND;STAINLESS STEEL;200.000.000.000;;GALVANISED;;01/09/2015;51000811;Waste Collection Poi;;01/11/2015;01/11/2015;54.229.358.260.000.000;690.414.517.190.000.000
6000121123;WASTE_COL_POINT;WHEELIE BIN STAND;STEEL;100.000.000.000;;GALVANISED;;18/05/2015;51000811;Waste Collection Poi;;01/11/2015;01/11/2015;53.964.930.430.000.000;690.949.762.880.000.000
6000121124;WASTE_COL_POINT;WHEELIE BIN STAND;TIMBER AND STEEL;100.000.000.000;;STAINED;;01/09/2015;51000811;Waste Collection Poi;;01/11/2015;01/11/2015;54.021.227.620.000.000;690.921.128.350.000.000
6000121125;WASTE_COL_POINT;WHEELIE BIN ENCLOSURE;TIMBER AND STEEL;200.000.000.000;;PAINTED;;01/09/2015;51000811;Waste Collection Poi;;01/11/2015;01/11/2015;54.022.358.720.000.000;690.921.564.920.000.000
6000120895;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;;;;19/07/2014;51002358;Waste Collection Poi;;27/10/2015;27/10/2015;54.216.232.210.000.000;690.231.224.910.000.000
6000120894;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;;;;19/07/2014;51002358;Waste Collection Poi;;27/10/2015;27/10/2015;54.217.753.560.000.000;690.226.675.390.000.000
6000120912;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;;;;19/07/2014;51002358;Waste Collection Poi;;27/10/2015;27/10/2015;54.216.060.230.000.000;690.224.029.550.000.000
6000120913;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;;;;19/07/2014;51002358;Waste Collection Poi;;27/10/2015;27/10/2015;54.217.283.930.000.000;690.214.206.880.000.000
6000120930;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;;;;19/07/2014;51002358;Waste Collection Poi;;27/10/2015;27/10/2015;54.215.564.130.000.000;690.211.607.340.000.000
6000120729;WASTE_COL_POINT;STANDARD LITTER BIN;TIMBER AND STEEL;100.000.000.000;;;;19/07/2014;51002358;Waste Collection Poi;;26/10/2015;26/10/2015;54.219.678.770.000.000;690.306.081.950.000.000
