floorUSD,totalVolumeUSD,address,logo,marketplaces,name,chains,floor,owners,totalVolume,category,SK,PK,dailyVolumeUSD,dailyVolume,slug
7689,79155086,0x79986af15539de2db9a5086382daeda917a9cf0c,https://lh3.googleusercontent.com/Jy6UrKMSi0e9w9jYtC1ON-4tOVXA1mXLk7XCLxvWEDuXeLFExJSYnw2DLAGtP3Ly98WJbrrFm6xEodcrpGnKB2tF=s60,['opensea'],Cryptovoxels,['ethereum'],2.18,1943,22442.991948834824,collections,overview,collection#cryptovoxels,76993,21.83,cryptovoxels
6163,75008710,0x8943c7bac1914c9a7aba750bf2b6b09fd21037e0,https://lh3.googleusercontent.com/kFZpw-bkoyH03qFbfqkwkkhHVxT7qclK_tYFmhU1K2HegU3v2wSMmhL6TIgw7Stx1KIoKs1sdJQ4My71ktXV7GygPBjaQZCACERt=s120,['opensea'],Lazy Lions,['ethereum'],1.7474,5028,21267.36210434622,collections,overview,collection#lazy-lions,648083,183.75231990000015,lazy-lions
8359,73266231,0xad9fd7cb4fc7a0fbce08d64068f60cbde22ed34c,https://lh3.googleusercontent.com/2QUNq1tqWDePg7jCqM7usnLNukDRTUc33VgVLkBYry4VKkess3MgRGw5fpz3qD5i2shfuyWdJH8Z8lWWyn39YcfeOMz7SjScZXnL=s120,['opensea'],Vox Collectibles,['ethereum'],2.37,3428,20773.31362583593,collections,overview,collection#collectvox,550879,156.19175416599998,collectvox
5925,71963879,0x7ea3cca10668b8346aec0bf1844a49e995527c8b,https://lh3.googleusercontent.com/vpJFZRfBl9ghj9IinaDB3w3xScD9AHwuXxpId50Yo80bw1Tt1BOhJg5pltBN-_wJwA0aCyHbcxIbXNnQ1cKd9xlc5ATdJUL4Yy3kDQ=s120,['opensea'],CyberKongz VX,['ethereum'],1.68,4258,20404.055466578502,collections,overview,collection#cyberkongz-vx,358238,101.57199999999997,cyberkongz-vx
8394,69888159,0xccc441ac31f02cd96c153db6fd5fe0a2f4e6a68d,https://lh3.googleusercontent.com/6A_zAw2qtq91-5x8yuJUwuV6ttgD2G__RWVApFWfUcH8Qb8oLhW3uP9MkonFAaHRnE4XodwYHCgESxQ3xdQlQrjTros61gPaG3qf2nQ=s120,['opensea'],FLUF World,['ethereum'],2.38,3590,19815.52255673603,collections,overview,collection#fluf-world,1004109,284.697,fluf-world
2532,69244125,0x219b8ab790decc32444a6600971c7c3718252539,https://lh3.googleusercontent.com/--7LUBCbLndUydYh3_oeDZD5MMUIDtXyJD-EHy01qkMbrCTTFl9XMLyLsFfcHa7TeN6wR72R9WEnHgDJHjGTMmUaUlJWWZOa1ZsYLQ=s120,['opensea'],Sneaky Vampire Syndicate,['ethereum'],0.718,1619,19632.918429191817,collections,overview,collection#sneaky-vampire-syndicate,84115,23.849352,sneaky-vampire-syndicate
6666,67674815,0x3fe1a4c1481c8351e91b64d5c398b159de07cbc5,https://lh3.googleusercontent.com/WNd3NNCiOAkD3rUNCau9qXDPQsnH3ZA8PcDMhlsfLnK6J1vSNpJnPFCjA-_l03LbCxwAYC1Mj8IcRQch7YMTDLnn_c-jAQ03RWRdEw=s120,['opensea'],SupDucks,['ethereum'],1.89,3418,19187.968933011234,collections,overview,collection#supducks,854268,242.21219000000005,supducks
5996,67063879,0x6632a9d63e142f17a668064d41a21193b49b41a0,https://lh3.googleusercontent.com/Elp_bWKH4be7BFwUbM84JhRgggPwP1XM1akHPJsTksP88BJoY9NWt2ECMZpY-rI3l9wrNUFdekGVC7-6i4vn4Al4f9iQt4JgZ6Mgxw=s120,['opensea'],Prime Ape Planet PAP,['ethereum'],1.7,4917,19014.74913557589,collections,overview,collection#primeapeplanetpap,3662344,1038.391278,primeapeplanetpap
617215,63576146,0xd4e4078ca3495de5b1d4db434bebc5a986197782,https://lh3.googleusercontent.com/BX7cWHwWFzo6FVh-Ql_qzFbXtADQgLLlpLOl3l9tS6hUPlgtGHgHn_E1FxiHXmzNlvig00ZEAk9uZU-tMPT2Fg=s60,['opensea'],Autoglyphs,['ethereum'],175.0,149,18025.86544038858,collections,overview,collection#autoglyphs,546676,155.0,autoglyphs
935,61619588,0x7e6bc952d4b4bd814853301bee48e99891424de0,https://lh3.googleusercontent.com/9ElHIcK8dZ3fOxLLVA1KKNuN7AVmNvFycX4jK3f_GvDhTrkCgh4hBJAiXGf8UsBSWlJU9lpSrtPtCfNHDp08ChZ7Tx_LDXbiT65t=s120,['opensea'],JUNGLE FREAKS BY TROSLEY,['ethereum'],0.265,5190,17471.118801736844,collections,overview,collection#jungle-freaks-by-trosley,29591,8.39,jungle-freaks-by-trosley
