Share,Category,Sector,RM,Up,Last Traded Price,Percentage Change,High Price,Low Price,% High Movt,% Low movt,Yearly Gainner,27th Dec,1st Feb,1st March,1st April,TB,RH,Corr,PeRatio,New Pe,W52_High,Corre,latest,Annual_Pat,Cum PAT 3 Quarter,Pat Jump,Annual Growth,Year End,Mar_17_ReportedPAT,Dec_16_ReportedPAT,Sep_16_ReportedPAT,Jun_16_ReportedPAT,Mar_16_ReportedPAT,Dec_15_ReportedPAT,Y oY PAT,LQ>0.5(4q's),PAT Growth,PeRatio,ResultDate,Mar_17_Inst_no_of_shares,Dec_16_Inst_no_of_shares,Int/ Incr/ Decr,Pledge,DividendYield,DERatio,FB,Mar_17_Eps_Before,Dec_16_Eps_Before,Sep_16_Eps_Before,Jun_16_Eps_Before,Mar_16_Eps_Before,Dec_15_Eps_Before,Annual_Eps,Volume,MarketCap,Annual_Pat,EquityCapital,FaceValue,New Listing,PE High Price High,Future,Cap Category
SHRIPISTON,NL,AUTO-AUTO ANCL AND COMPONENTS,#N/A,#N/A,1203,#N/A,#N/A,#N/A,#N/A,#N/A,,-1%,-1%,-1%,-1%,,1349,11%,23.65,30,2081.35,42%,,92.731,82.5,-10.231,G,,,22.79,27.12,32.59,31.32,19.08,Y,,Y,23.65,42867,,,,0,0.33,0.25,,#REF!,10.19,12,15.14,13.99,8.53,41.44,0.014316137,2692,92.731,22.37,10,SHRIPISTON,,,SmallCap
SHRIRAMCIT,Buy,FINANCIAL SERVICES-NBFC,Interest Rate,Down,2105.4,0.69,2134.2,2091.2,0.013494518,0.00679036,60%,20%,11%,10%,-11%,,2400,12%,24.99,21,2610,19%,,558.63,,,G,,17.57,165.69,,,62.84,181.91,Y,,Y,24.99,42857,137,140,-3,0,0.71,2.38,,2.46,24.83,#REF!,#REF!,86.03,21.75,83.64,10.14457137,13884,558.63,65.94,10,,,,MidCap
SHRIRAMEPC,Exit,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,26.7,#N/A,#N/A,#N/A,#N/A,#N/A,12%,-4%,-1%,-4%,-4%,TB,31.2,14%,0,-4.479865772,41,35%,,-204.0446,-166.4085,37.6361,,,,-69.3942,-55.1689,-41.8454,,,,,,0,42878,22,25,-3,30.19,0,5.02,FB,#REF!,-1.49,-1.64,-1.27,#REF!,#REF!,-8.95,0.34786883,2502,-204.0446,783.5052,10,,,,SmallCap
SHYAMCENT,Exit,METALS AND MINING,#N/A,#N/A,8.95,#N/A,#N/A,#N/A,#N/A,#N/A,64%,22%,8%,21%,13%,,9.25,3%,25.9,-56,11.25,20%,,1.074,0.6855,-0.3885,,,,-2.0921,1.8609,0.9167,1.4046,-0.3058,,,,25.9,42774,5,5,0,0,0,0.17,FB,#REF!,-0.04,0.13,0.12,0.14,0.06,0.29,0.01847429,199,1.074,22.2173,1,,,,MiniCap
SHYAMTEL,Exit,INFRA-TELECOM,#N/A,#N/A,28.85,#N/A,#N/A,#N/A,#N/A,#N/A,-7%,-4%,-9%,-11%,4%,TB,34.25,16%,0,-3.624371859,40.25,28%,,-7.9932,-4.0052,3.988,,,,-2.2462,-0.0938,-1.6652,-0.1217,-1.8102,,,,0,42773,4,4,0,0,0,0.03,FB,#REF!,-1.99,-0.08,-1.48,-0.11,-1.61,-7.09,0.047980082,33,-7.9932,11.27,10,,,,MiniCap
SICAGEN,Exit,METALS AND MINING,#N/A,#N/A,41.9,#N/A,#N/A,#N/A,#N/A,#N/A,61%,71%,62%,63%,63%,,39.9,-5%,40.69,-26,47.3,11%,,1.06,1.2,0.14,,,,-1.62,2.4,0.42,2.74,2.96,,,,40.69,42872,26,26,0,0,1.43,0.13,FB,#REF!,-0.41,0.61,0.11,0.69,0.75,0.27,0.15767927,166,1.06,39.57,10,,,,MiniCap
SICAL,Exit,TRANSPORTATION LOGISTICS,#REF!,#REF!,270.85,0.2,286,271,0.052972028,-0.000553506,104%,40%,24%,1%,3%,,274.95,1%,46.26,37,277.65,2%,,14.23,22.51,8.28,G,,15.82,9.53,6.53,6.45,9.06,1.39,Y,,Y,46.26,42865,35,32,3,74.47,0,1.95,FB,2.54,1.82,1.27,1.26,1.5,0.45,2.52,2.751507867,1506,14.23,55.62,10,,,,SmallCap
SIEMENS,Buy,INFRA-MACHINERY EQUIPMENT,#N/A,#N/A,1462.9,-3.94,1448.4,1401,-0.010011047,0.044182727,16%,39%,29%,21%,17%,,1376,-6%,17.73,81,1471.35,1%,,,2756.9973,,,,186.268,160.008,2466.9528,130.0365,177.4226,111.304,Y,,Y,17.73,42865,451,441,10,0,2.28,0,,5.23,4.49,4.84,3.65,4.98,3.13,#REF!,26.56738791,52097,#REF!,71.224,2,,,,LargeCap
SIGNET,HWLV,FINANCIAL SERVICES,#REF!,#REF!,11.75,1.28,12,11.8,0.020833333,-0.004237288,-45%,-43%,-47%,-41%,-32%,TB,24.25,52%,20.1,17,45.4,74%,,17.4092,15.1412,-2.268,,,,4.8847,6.0244,4.2321,2.1287,3.8329,Y,,Y,20.1,42780,2,2,0,0,0.42,1.82,FB,#REF!,0.17,0.2,0.14,0.07,0.13,0.58,1.436917317,346,17.4092,29.437,1,,,,MiniCap
SIL,Exit,IT,#N/A,#N/A,25.2,#N/A,#N/A,#N/A,#N/A,#N/A,-1%,17%,11%,5%,15%,,25.8,2%,0,-15.75,32.2,22%,,-14.1841,-9.5747,4.6094,,,,-2.5872,-3.7793,-3.2082,-3.9586,-3.1768,,,,0,42871,45,45,0,0,2.97,0.59,FB,#REF!,-0.4,-0.59,-0.5,-0.62,-0.49,-2.2,0.027463387,162,-14.1841,32.1645,5,,,,MiniCap
SILINV,HWLV,FINANCIAL SERVICES-NBFC,#N/A,#N/A,186.8,0.64,223.9,186.3,0.165698973,0.002683843,99%,78%,56%,10%,25%,,184.9,-1%,11.61,23.23383085,195.9,5%,,13.48,14.4,0.92,,,,2.13,7.67,4.6,2.63,0.51,Y,,Y,11.61,42772,11,11,0,0,0.66,0.32,,#REF!,2.01,7.24,4.34,2.48,0.49,12.61,0.107087456,198,13.48,10.61,10,,,,MiniCap
SIMBHALS,Exit,FMCG-SUGAR,#N/A,#N/A,34.2,#N/A,#N/A,#N/A,#N/A,#N/A,-11%,30%,5%,13%,6%,TB,39.65,14%,0,-1.650579151,61.45,44%,,-113.78,-34.99,78.79,,,,-19.41,-21.36,5.78,19.94,-27.27,,,,0,42779,4,3,1,36.41,0,4.07,FB,#REF!,-5.18,-5.7,1.54,5.32,-7.28,-29.88,0.375352644,128,-113.78,37.48,10,,,,MiniCap
SIMPLEX,BWLV,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,35.5,0,0,0,#DIV/0!,#DIV/0!,41%,,41%,5%,13%,,37.3,5%,0,2,37.4,5%,,-86.4798,-27.1227,59.3571,G,,,6.5971,-8.6943,-25.0255,-33.9617,-16.7706,Y,,Y,0,42780,,,,0,0,5.14,,#REF!,5.24,-6.9,-19.86,-26.95,-13.31,-68.63,0.266841726,45,-86.4798,12.6004,10,,,,MiniCap
SIMPLEXINF,BWLV,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,409.7,0.32,414.45,407.3,0.011460972,0.005892463,34%,56%,32%,37%,33%,,437.8,6%,29.13,28,437.8,6%,,68.71,53.44,-15.27,G,,,18.4,17.84,17.2,15.78,19.02,Y,,Y,29.13,42780,21,22,-1,0,0.12,2.03,,#REF!,3.72,3.6,3.48,3.19,3.85,13.83,0.881459708,2027,68.71,9.93,2,,,,SmallCap
SINTEX,Exit,REALTY-HOUSEHOLD,#N/A,#N/A,115.05,-0.91,115.9,113.4,0.007333909,0.014550265,39%,63%,39%,20%,9%,,117.6,2%,10.72,14,117.6,2%,,626.93,351.28,-275.65,,,,110.64,164.81,75.83,233.09,179.7954,Y,,Y,10.72,42755,188,171,17,54.95,0.6,1.06,FB,#REF!,2.12,3.72,1.7,5.23,4.04,14.22,44.30526385,6267,626.93,52.35,1,,,,MidCap
SITASHREE,Exit,FMCG-FOOD,#N/A,#N/A,6.3,#N/A,#N/A,#N/A,#N/A,#N/A,-23%,-6%,-16%,-6%,-8%,TB,8.3,24%,0,-0.056838686,16.3,61%,,-1.0056,-157.8817,-156.8761,,,,-77.142,-63.8859,-16.8538,-3.9258,0.8878,,,,0,42780,,,,94.97,0,3.55,FB,#REF!,-27.71,-22.95,-6.06,-1.41,0.32,-0.35,0.046888675,18,-1.0056,27.8342,10,,,,MiniCap
SITINET,Exit,MEDIA-ENTERTAINMENT,#N/A,#N/A,31.8,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,0,-26.5,41.45,23%,,6.839,-114.64,-121.479,,,,-33.479,-37.627,-43.534,8.08,56.021,,,,0,42780,72,71,1,47.5,0,1.46,FB,#REF!,-0.3,-0.6,-0.7,0.3,0.6,0,0.8,2773,6.839,79.415,1,,,,SmallCap
SIYSIL,BWLV,TEXTILES AND APPAREL,#N/A,#N/A,1696.35,1.81,1735,1681.05,0.022276657,0.009101454,76%,44%,21%,1%,0%,,1775,4%,19.27,29,1775,4%,,84.89,50.49,-34.4,,,,13.67,26.79,10.03,32.05,20.86,Y,,Y,19.27,42763,33,32,1,0,0.64,0.72,,#REF!,14.58,28.58,10.7,34.82,22.25,90.86,0.734248446,1590,84.89,9.37,10,,,,SmallCap
SJVN,Buy,INFRA-POWER,#REF!,#REF!,33.2,-2.41,33.75,32.1,0.016296296,0.034267913,23%,11%,3%,1%,-1%,TB,36.6,9%,9.8,13,36.6,9%,,1402.15,1262.89,-139.26,G,,,261.06,521.87,479.96,147.48,211.6,Y,,Y,9.8,42779,82,73,9,0,3.31,0.23,,#REF!,0.63,1.26,1.16,0.36,0.51,3.39,3.290050507,13734,1402.15,4136.63,10,,,,MidCap
SKFINDIA,HWV,INFRA-MACHINERY EQUIPMENT,#REF!,#REF!,1599.7,0.2,1633.7,1592.65,0.020811655,0.004426585,29%,32%,26%,8%,0%,TB,1748.5,9%,35.65,32,1748.5,9%,,257.15,186,-71.15,,,,65.34,60.26,60.4,51.18,58.14,Y,,Y,35.65,42779,172,165,7,0,0.93,0,,#REF!,12.4,11.4,11.5,9.7,11,48.8,3.515547927,8436,257.15,52.73,10,,,,MidCap
SKIL,Exit,REALTY-HOUSEHOLD,#N/A,#N/A,32.9,#N/A,#N/A,#N/A,#N/A,#N/A,-20%,58%,48%,20%,70%,,29.05,-13%,0,-5.751748252,36,9%,,-344.0243,-112.3765,231.6478,,,,-31.0094,-59.5839,-21.7832,-164.1009,-58.319,,,,0,42775,2,1,1,84.07,0,1.6,FB,#REF!,-1.43,-2.75,-1.01,-7.58,-2.69,-22.3,0.168260751,713,-344.0243,216.5712,10,,,,MiniCap
SKIPPER,Buy,INFRA-POWER,#REF!,#REF!,195.9,0.31,199.4,193.3,0.017552658,0.013450595,40%,52%,27%,34%,7%,,196.3,0%,21.35,22,201,3%,,95.1297,58.7115,-36.4182,,,,22.3484,22.6442,13.7189,36.1154,18.6988,Y,,Y,21.35,42870,13,14,-1,0,0.71,1.17,,#REF!,2.18,2.21,1.34,3.53,1.83,9.3,2.061979752,2004,95.1297,10.2316,1,,,,SmallCap
SKMEGGPROD,Exit,FMCG-FOOD,#N/A,#N/A,75.4,#N/A,#N/A,#N/A,#N/A,#N/A,-7%,51%,16%,-8%,-5%,,86.9,13%,105.48,157,94.9,21%,,24.86,2.46,-22.4,,,,0.32,1.36,0.78,-0.56,7.74,,,,105.48,42885,1,2,-1,0,1.32,0.4,FB,#REF!,0.12,0.52,0.3,-0.21,2.94,9.31,0.92456929,199,24.86,26.33,10,,,,MiniCap
SMARTLINK,HWLV,IT,#N/A,#N/A,98.55,0.66,101.9,98.25,0.032875368,0.003053435,3%,1%,-2%,8%,1%,TB,111.7,12%,31.95,43,123.7,20%,,4.3834,4.4706,0.0872,,,,1.4139,3.1919,-0.1352,2.5038,0.2756,Y,,Y,31.95,42872,5,3,2,0,0,0,,#REF!,0.57,1.22,-0.05,0.83,0.09,1.46,1.296406773,222,4.3834,4.51,2,,,,MiniCap
SMLISUZU,HWV,AUTO-AUTOMOBILES AND AUTO PARTS,#REF!,#REF!,1350.3,-1.5,1334,1312.5,-0.012218891,0.0288,73%,32%,14%,6%,5%,,1388,3%,27.7,155,1433.8,6%,,51.16,53.96,2.8,,,8.85,3.15,9.69,41.12,16.67,-0.93,Y,,Y,27.7,42865,39,36,3,0,0.59,0.16,,6.11,2.18,6.69,28.42,11.51,-0.63,35.35,3.873723145,1954,51.16,14.48,10,,,,SmallCap
SMPL,Exit,METALS AND MINING,#N/A,#N/A,2.1,#N/A,#N/A,#N/A,#N/A,#N/A,,-16%,-24%,-16%,-5%,,3.05,31%,0,-0.168269231,3.8,45%,,-99.5333,-161.0547,-61.5214,,,,-93.7664,-32.4319,-34.8564,-42.323,-59.8099,,,,0,42779,3,3,0,100,0,2.58,FB,#REF!,-3.12,-1.08,-1.16,-1.91,-2.97,-4.46,0.033086468,63,-99.5333,150.5054,5,,,,MiniCap
SMSPHARMA,HWLV,PHARMA,#REF!,#REF!,90.95,-2.03,91,88.2,0.000549451,0.031179138,3%,9%,7%,2%,6%,TB,99.3,8%,16.49,15,115.1,21%,,41.6392,33.5162,-8.123,G,,,13.0404,11.3228,9.153,12.9284,11.0246,Y,,Y,16.49,42777,2,2,0,3.55,0.21,0.63,,#REF!,1.54,1.34,1.08,1.53,1.3,4.83,0.530388882,770,41.6392,8.4652,1,,,,MiniCap
SNOWMAN,Exit,TRANSPORTATION LOGISTICS,#REF!,#REF!,60.55,0.58,61.7,60.5,0.018638574,0.000826446,24%,23%,4%,0%,-4%,TB,67.7,11%,0,-126.1458333,93.95,36%,,20.6103,-8.5447,-29.155,,,,-2.0174,-8.3203,1.793,7.5935,4.5449,,,,0,42872,9,7,2,0,0,0.27,FB,#REF!,-0.12,-0.5,0.11,0.45,0.27,1.23,4.218316226,1012,20.6103,167.088,10,,,,SmallCap
SOBHA,Buy,REALTY,#REF!,#REF!,409.8,-1.74,409.65,400,-0.000366166,0.0245,32%,69%,59%,41%,19%,,424.9,4%,26.28,25,424.9,4%,,154.2,101.8,-52.4,,,,32.6,35.1,34.1,40.2,31.4,Y,,Y,26.28,42871,118,108,10,18.45,0.48,0.84,,#REF!,4.09,3.97,3.66,3.68,3.27,15.63,2.964866133,3947,154.2,96.3,10,,,,SmallCap
SOLARINDS,HWLV,METALS AND MINING,#REF!,#REF!,799.1,0.11,812.2,792,0.016129032,0.008964646,17%,22%,15%,12%,1%,TB,915,13%,40.01,38,915,13%,,179.9821,138.76,-41.2221,G,,,49.52,39.13,50.11,50.5387,44.1753,Y,,Y,40.01,42780,69,66,3,0,0.56,0.4,,#REF!,5.25,4.08,26.03,26.64,4.59,91.8,1.375625412,7231,179.9821,18.1,2,,,,MidCap
SOMANYCERA,HWV,REALTY-HOUSEHOLD,#REF!,#REF!,818.15,0.08,829.65,813.95,0.013861267,0.005160022,82%,73%,39%,32%,19%,,797,-3%,39.96,43,840,3%,,65.55,61.09,-4.46,G,,,20.18,23.01,17.9,26.06,13.86,Y,,Y,39.96,42759,65,59,6,0,0.28,0.49,,#REF!,4.76,5.43,4.22,6.15,3.53,16.25,1.572156398,3467,65.55,8.48,2,,,,SmallCap
SOMATEX,Exit,TEXTILES AND APPAREL,#N/A,#N/A,13.15,#N/A,#N/A,#N/A,#N/A,#N/A,165%,45%,53%,10%,5%,,16.3,19%,0,-5,17.05,23%,,-14.23,-6.23,8,,,,-2.36,-4.8,0.93,1.52,-6.21,,,,0,42780,4,4,0,11.87,0,60.04,FB,#REF!,-0.72,-0.59,-1.53,0.46,-1.85,-4.3,0.110392371,43,-14.23,33.03,10,,,,MiniCap
SOMICONVEY,NL,INFRA-MACHINERY EQUIPMENT,#N/A,#N/A,57.4,#N/A,#N/A,#N/A,#N/A,#N/A,,25%,8%,-3%,2%,,68,16%,58.34,159,68,16%,,2.2884,0.7103,-1.5781,,,,0.1097,0.2466,0.354,0.4406,0.7403,,,,58.34,42777,,,,0,1.74,0.59,FB,#REF!,0.09,0.21,0.3,0.37,0.63,1.94,0.167322861,68,2.2884,11.7797,10,SOMICONVEY,,,MiniCap
SONASTEER,HWV,AUTO-AUTO ANCL AND COMPONENTS,NA,#REF!,82.3,0.24,83,82.25,0.008433735,0.000607903,81%,39%,4%,1%,1%,,86.5,5%,38.93,46,89.95,9%,,54.1504,30.171,-23.9794,,,,12.8989,9.8977,7.3744,27.1941,7.5533,Y,,Y,38.93,42776,24,24,0,0,0.6,0.64,,#REF!,0.45,0.31,0.26,1.1,0.22,1.86,6.102971754,1636,54.1504,19.8742,1,,,,SmallCap
SONATSOFTW,Buy,IT,#REF!,#REF!,163.45,1.38,167.9,164,0.026503871,-0.003353659,20%,-10%,-11%,-15%,-3%,TB,204.9,20%,11.19,11,224,27%,,158.591,113.2992,-45.2918,,,,38.6535,37.8187,36.827,40.8305,40.2288,Y,,Y,11.19,42884,72,69,3,1.15,5.5,0.36,,#REF!,3.68,3.6,3.5,3.88,3.83,15.08,8.49382561,1719,158.591,10.5159,1,,,,SmallCap
SORILHOLD,NL,DIVERSIFIED,#N/A,#N/A,36.95,-2.17,37.5,35.35,0.014666667,0.045261669,,,,,,,,,0,#REF!,41.7,11%,,,,,,,,,,,,,,,,0,,15,,,0,0,0.47,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#N/A,187,#REF!,#REF!,2,SORILHOLD,,,MiniCap
SORILINFRA,HWV,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,143.15,3.25,149.9,145,0.04503002,-0.012758621,,,,,,,146.4,2%,8.06,224,247.4,42%,,,,,,,,0.4315,,,,,,,,8.06,42769,3,2,1,0,0,0.26,,#REF!,0.16,#REF!,#REF!,#REF!,#REF!,#REF!,4.52,395,#REF!,27.6,10,,,,MiniCap
SOTL,BWLV,ENERGY-OIL & GAS,#N/A,#N/A,996.7,#N/A,#N/A,#N/A,#N/A,#N/A,103%,44%,19%,10%,7%,,977,-2%,20.42,20,1008,1%,,34.3166,62.1265,27.8099,G,,,18.1064,23.7837,20.2364,9.3781,3.3519,Y,,Y,20.42,42882,14,14,0,0,0.5,0.03,,#REF!,12.4,16.29,13.86,6.42,2.3,23.5,0.225524307,1455,34.3166,14.6021,10,,,,SmallCap
SOUTHBANK,Buy,BANKS-PRIVATE,#N/A,#N/A,26.15,-0.76,26.4,25.85,0.009469697,0.011605416,23%,40%,26%,25%,22%,,26.3,1%,12.09,8,26.65,2%,,333.27,316.96,-16.31,G,,,111.38,110.52,95.06,72.97,101.63,Y,,Y,12.09,42870,142,145,-3,0,1.91,0.62,,#REF!,0.81,0.82,0.7,0.54,0.75,2.47,17.77949644,4714,333.27,135.17,1,,,,SmallCap
SPAL,NL,TEXTILES AND APPAREL,#REF!,#REF!,397.95,-0.3,404.05,395,0.015097141,0.007468354,,18%,8%,-7%,-7%,,478.25,17%,18.79,15,478.25,17%,,18.651,44.556,25.905,G,,,14.179,14.812,15.565,-5.248,12.654,Y,,Y,18.79,42780,11,9,2,0,0,1.92,,#REF!,6.44,5.68,9.58,0,7.43,7.88,2.704564265,1002,18.651,25.168,10,SPAL,,,SmallCap
SPARC,Exit,PHARMA,#REF!,#REF!,316.25,-0.55,317.85,313.7,0.005033821,0.008128785,13%,7%,4%,-6%,0%,TB,357.85,12%,0,-29.39126394,414.9,24%,,-69.99,-88,-18.01,,,-32.27,-66.33,14.74,-36.41,-9.58,-41.02,,,,0,42762,79,84,-5,0,0,1.85,FB,-1.31,-2.69,0.6,-1.47,-0.4,-1.73,-2.96,7.036563898,7808,-69.99,24.69,1,,,,MidCap
SPCENET,NL,IT,#N/A,#N/A,0.6,#N/A,#N/A,#N/A,#N/A,#N/A,,,-56%,-59%,-8%,,1.9,68%,0,-0.833333333,1.9,68%,,,-2.2168,,,,,-0.8638,-0.5427,-0.8103,,,,,,0,42780,,,,0,0,-0.76,FB,#REF!,-0.18,-0.11,0,#REF!,#REF!,#REF!,0.006092933,3,#REF!,4.9019,1,SPCENET,,,MiniCap
SPECIALITY,Exit,ENTERTAINMENT-HOTELS AND LEISURE,#N/A,#N/A,89.7,#N/A,#N/A,#N/A,#N/A,#N/A,7%,24%,19%,20%,5%,,95.65,6%,0,-22.88265306,103,13%,,0.26,-13,-13.26,,,,-4.62,-2.57,-5.81,-4.03,1,,,,0,42774,11,14,-3,0,0,0,FB,#REF!,-0.98,-0.55,-1.24,-0.86,0.21,0.06,0.477106224,421,0.26,46.96,10,,,,MiniCap
SPENTEX,Exit,TEXTILES AND APPAREL,#N/A,#N/A,3.85,#N/A,#N/A,#N/A,#N/A,#N/A,13%,-36%,0%,3%,10%,,4.25,9%,0,-0.220251716,8.2,53%,,-104.7721,-94.9948,9.7773,,,,-39.2153,-30.7655,-25.014,-19.4373,-19.9619,,,,0,42780,48,48,0,100,0,-0.87,FB,#REF!,-4.37,-3.43,-2.79,-2.17,-2.22,-11.67,0.013871499,35,-104.7721,89.772,10,,,,MiniCap
SPHEREGSL,HWLV,MEDIA-ENTERTAINMENT,#N/A,#N/A,64.2,#N/A,#N/A,#N/A,#N/A,#N/A,36%,3%,-7%,0%,1%,TB,76.7,16%,9.22,7,85,24%,,1.9829,11.8026,9.8197,,,,4.1388,4.1184,3.5454,0.7687,0.7115,Y,,Y,9.22,42772,1,1,0,0,0,0.1,,#REF!,2.29,2.36,2.03,0.44,0.41,1.14,0.383553393,116,1.9829,18.0689,10,,,,MiniCap
SPIC,HWLV,FERTILISERS,#N/A,#N/A,31,#N/A,#N/A,#N/A,#N/A,#N/A,27%,74%,46%,43%,32%,,28.9,-7%,30.54,45.58823529,31.45,1%,,31.0205,19.1141,-11.9064,,,,3.9454,22.2597,-7.091,1.5567,18.3733,,,,30.54,42873,,,,0,0,0.55,,#REF!,0.17,1.07,-0.37,0.05,0.88,1.43,0.938381034,631,31.0205,203.6403,10,,,RS3,MiniCap
SPICEMOBI,Exit,INFRA-TELECOM,#N/A,#N/A,14.95,#N/A,#N/A,#N/A,#N/A,#N/A,16%,3%,-17%,-10%,3%,TB,20.4,27%,0,-10.67857143,21,29%,,-71.98,-32.14,39.84,,,,-6.96,-4.59,-20.59,-21.09,-27.09,,,,0,42867,2,2,0,0,0,0.18,FB,#REF!,-0.35,-0.2,-0.9,-1.04,-1.16,-3.24,0.054148184,341,-71.98,54.2,3,,,,MiniCap
SPLIL,Exit,TEXTILES AND APPAREL,#N/A,#N/A,23.65,#N/A,#N/A,#N/A,#N/A,#N/A,13%,-10%,-16%,-6%,0%,TB,29.95,21%,15.74,#DIV/0!,38.95,39%,,8.8283,0.3845,-8.4438,,,,-2.3841,1.7573,1.0113,4.1676,1.5092,,,,15.74,42779,,,,0,0,0.5,FB,#REF!,0,0,0.35,1.45,0.52,3.04,0.035099003,69,8.8283,29,10,,,,MiniCap
SPMLINFRA,Exit,CEMENTS,#N/A,#N/A,108.8,#N/A,#N/A,#N/A,#N/A,#N/A,2%,115%,116%,82%,82%,,106.65,-2%,63.53,77.71428571,113.95,5%,,-8.3321,2.92,11.2521,,,,1.27,0.48,1.17,3.38,0.26,Y,,Y,63.53,42776,1,1,0,78.67,0,2.42,FB,#REF!,0.35,0.13,0.32,0.92,0.07,-1.63,0.500545391,399,-8.3321,7.33,2,,,,MiniCap
SPYL,Exit,TEXTILES AND APPAREL,#N/A,#N/A,0.4,#N/A,#N/A,#N/A,#N/A,#N/A,-69%,-72%,-47%,-33%,-11%,TB,0.8,50%,0,-0.25,2.25,82%,,-104.3923,-29.4952,74.8971,,,,-12.9946,-7.949,-8.5516,-11.8443,-76.6816,,,,0,42780,,,,0,0,65.96,FB,#REF!,-0.4,-0.25,-0.28,-0.52,-3.48,-4.57,0.063276158,14,-104.3923,34.47,1,,,,MiniCap
SQSBFSI,HWLV,IT,#REF!,#REF!,532.25,1.48,543.8,533,0.021239426,-0.001407129,-38%,-26%,-21%,-10%,-3%,TB,784,32%,24.65,37,1240,57%,,36.9,18.7,-18.2,,,4.4,3.8,5.9,9,10.6,7.4,Y,,Y,24.65,42852,16,26,-10,0,4.5,0,,4.03,3.57,5.49,8.46,9.91,6.89,34.62,1.07551684,568,36.9,10.7,10,,,,MiniCap
SREEL,HWLV,TEXTILES AND APPAREL,#N/A,#N/A,130.4,#N/A,#N/A,#N/A,#N/A,#N/A,,,-12%,-7%,7%,,170,23%,26.79,32,199,34%,,11.2997,9.5899,-1.7098,,,,2.5713,4.5366,2.482,2.5928,2.7837,Y,,Y,26.79,42779,1,,,0,0,0,,#REF!,1.02,1.8,0.99,1.03,1.11,4.49,0.031183626,328,11.2997,25.155,10,,,,MiniCap
SREINFRA,Buy,FINANCIAL SERVICES-NBFC,Interest Rate,Down,112.85,-3.06,113,108.75,0.001327434,0.037701149,53%,61%,31%,22%,36%,,106.25,-6%,28.09,21,113.3,0%,,61.53,179.67,118.14,G,,63.09,67.15,61.66,50.86,16.9,15.36,Y,,Y,28.09,42864,111,89,22,0,0,5.05,,1.25,1.34,1.23,1.03,0.41,0.34,1.44,9.488876298,5677,61.53,503.24,10,,,,MidCap
SRF,Buy,DIVERSIFIED,#N/A,#N/A,1779.7,0.08,1817.95,1767.05,0.021040183,0.007158824,30%,23%,6%,14%,9%,TB,1824.95,2%,21.38,24,1970,10%,,422.94,368.15,-54.79,G,,,104.7,119.26,144.19,108.79,100.68,Y,,Y,21.38,42776,208,218,-10,0,0.56,0.8,,#REF!,18.23,20.77,25.11,18.95,17.53,73.66,32.78476719,10219,422.94,57.42,10,,,,MidCap
SRGINFOTEC,Exit,IT,#N/A,#N/A,0.25,#N/A,#N/A,#N/A,#N/A,#N/A,0%,-29%,-29%,-29%,0%,TB,0.45,44%,0,-3.125,0.45,44%,,-10.4961914,-0.4687,10.0274914,,,,-0.3421,-0.0388,-0.0878,-9.8647,-0.0637,,,,0,42780,4,4,0,0,0,0,FB,#REF!,-0.02,0,0,-0.46,0,-0.49,0.000481021,5,-10.4961914,214.26,10,,,,MiniCap
SRHHYPOLTD,HWLV,CHEMICALS,#N/A,#N/A,139.05,#N/A,#N/A,#N/A,#N/A,#N/A,95%,17%,8%,15%,12%,,164.8,16%,9.11,24,178,22%,,18.6853,10.5745,-8.1108,,,,2.0915,5.4617,3.0213,8.4963,5.4766,,,,9.11,42780,7,7,0,0,1.07,0.36,,#REF!,1.42,3.71,2.05,5.77,3.72,17.02,0.142785071,215,18.6853,14.7167,10,,,,MiniCap
SRIPIPES,Buy,METALS AND MINING,Coking Coal and Iron Ore,#REF!,369.75,-0.2,373,366,0.008713137,0.010245902,76%,50%,35%,13%,-5%,,399.5,7%,9.46,9,399.5,7%,,158.8025,109.0417,-49.7608,,,,40.0968,25.9772,42.9677,46.1189,41.4078,Y,,Y,9.46,42867,45,48,-3,0,1.35,0.94,,#REF!,10.08,6.53,10.81,11.6,10.41,39.94,2.291266915,1470,158.8025,39.7636,10,,,,SmallCap
SRSLTD,Exit,TEXTILES AND APPAREL,#N/A,#N/A,3.4,-1.47,3.5,3.35,0.028571429,0.014925373,-65%,-21%,-45%,-40%,-21%,TB,6.7,49%,2.4,-1.075949367,12.35,72%,,39.7143,-50.2153,-89.9296,,,,-21.8903,-20.2206,-8.1044,-17.3073,4.877,,,,2.4,42780,9,10,-1,6.2,0,1.06,FB,#REF!,-0.79,-0.73,-0.29,-0.62,0.18,1.43,0.825348468,95,39.7143,278.582,10,,,,MiniCap
