Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","5400","Europe","5131","Processing","2556","Groundnuts (Shelled Eq)","2013","2013","1000 tonnes","214","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5154","Other uses","2556","Groundnuts (Shelled Eq)","2013","2013","1000 tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5142","Food","2556","Groundnuts (Shelled Eq)","2013","2013","1000 tonnes","612","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","645","Food supply quantity (kg/capita/yr)","2556","Groundnuts (Shelled Eq)","2013","2013","kg","0.83","Fc","Calculated data"
"FBS","Food Balance Sheets","5400","Europe","664","Food supply (kcal/capita/day)","2556","Groundnuts (Shelled Eq)","2013","2013","kcal/capita/day","13","Fc","Calculated data"
"FBS","Food Balance Sheets","5400","Europe","674","Protein supply quantity (g/capita/day)","2556","Groundnuts (Shelled Eq)","2013","2013","g/capita/day","0.59","Fc","Calculated data"
"FBS","Food Balance Sheets","5400","Europe","684","Fat supply quantity (g/capita/day)","2556","Groundnuts (Shelled Eq)","2013","2013","g/capita/day","1.09","Fc","Calculated data"
"FBS","Food Balance Sheets","5400","Europe","5511","Production","2557","Sunflower seed","2013","2013","1000 tonnes","31814","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5611","Import Quantity","2557","Sunflower seed","2013","2013","1000 tonnes","3463","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5072","Stock Variation","2557","Sunflower seed","2013","2013","1000 tonnes","-1752","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5911","Export Quantity","2557","Sunflower seed","2013","2013","1000 tonnes","4655","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5301","Domestic supply quantity","2557","Sunflower seed","2013","2013","1000 tonnes","28871","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5521","Feed","2557","Sunflower seed","2013","2013","1000 tonnes","1717","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5527","Seed","2557","Sunflower seed","2013","2013","1000 tonnes","533","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5123","Losses","2557","Sunflower seed","2013","2013","1000 tonnes","1043","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5131","Processing","2557","Sunflower seed","2013","2013","1000 tonnes","21938","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5154","Other uses","2557","Sunflower seed","2013","2013","1000 tonnes","3556","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5142","Food","2557","Sunflower seed","2013","2013","1000 tonnes","85","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","645","Food supply quantity (kg/capita/yr)","2557","Sunflower seed","2013","2013","kg","0.11","Fc","Calculated data"
"FBS","Food Balance Sheets","5400","Europe","664","Food supply (kcal/capita/day)","2557","Sunflower seed","2013","2013","kcal/capita/day","1","Fc","Calculated data"
"FBS","Food Balance Sheets","5400","Europe","674","Protein supply quantity (g/capita/day)","2557","Sunflower seed","2013","2013","g/capita/day","0.04","Fc","Calculated data"
"FBS","Food Balance Sheets","5400","Europe","684","Fat supply quantity (g/capita/day)","2557","Sunflower seed","2013","2013","g/capita/day","0.08","Fc","Calculated data"
"FBS","Food Balance Sheets","5400","Europe","5511","Production","2558","Rape and Mustardseed","2013","2013","1000 tonnes","25704","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5611","Import Quantity","2558","Rape and Mustardseed","2013","2013","1000 tonnes","11152","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5072","Stock Variation","2558","Rape and Mustardseed","2013","2013","1000 tonnes","-230","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5911","Export Quantity","2558","Rape and Mustardseed","2013","2013","1000 tonnes","10365","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5301","Domestic supply quantity","2558","Rape and Mustardseed","2013","2013","1000 tonnes","26261","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5521","Feed","2558","Rape and Mustardseed","2013","2013","1000 tonnes","1662","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","Food Balance Sheets","5400","Europe","5527","Seed","2558","Rape and Mustardseed","2013","2013","1000 tonnes","271","A","Aggregate, may include official, semi-official, estimated or calculated data"
